Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	7.05	5.35	0.	150.27
2	6.82	6.86	0.	145.83
3	5.63	5.91	0.	161.7
4	0.98	6.46	0.	169.64
5	1.76	5.21	0.	108.74
6	2.45	6.51	0.	169.51
7	-4.41	6.66	0.	163.61
8	-6.16	7.15	0.	155.28
9	-5.71	5.39	0.	107.25
10	-3.43	6.19	0.	178.54
11	-1.81	5.97	0.	167.99
12	-2.43	7.48	0.	113.06
13	-5.81	1.08	0.	152.33
14	-7.29	0.36	0.	163.5
15	-5.93	-0.56	0.	139.93
16	7.35	1.25	0.	137.47
17	6.07	0.51	0.	159.57
18	7.36	-0.23	0.	140.19
19	-3.39	-2.09	0.	148.24
20	-3.33	-0.93	0.	158.71
21	-4.36	-1.46	0.	163.73
22	7.67	-1.83	0.	108.6
23	8.34	-0.8	0.	184.56
24	7.11	-0.73	0.	165.98
25	5.77	-8.28	0.	107.03
26	6.35	-7.45	0.	183.81
27	5.34	-7.37	0.	180.29
28	-7.89	-6.16	0.	150.18
29	-7.79	-8.07	0.	138.11
30	-6.19	-7.03	0.	158.33
31	-0.38	-6.94	0.	181.88
32	0.8	-7.16	0.	173.38
33	0.4	-6.02	0.	119.67
34	6.89	-6.73	0.	129.16
35	6.46	-8.57	0.	162.4
36	8.27	-8.02	0.	171.6
37	-6.	5.	0.	134.23
38	-6.	4.	0.	131.6
39	-4.	5.	0.	146.24
40	-4.	4.	0.	136.
41	7.	9.	0.	138.55
42	7.	7.	0.	155.76
43	9.	9.	0.	140.82
44	9.	7.	0.	138.33
45	-3.	-1.	0.	142.44
46	-3.	-2.	0.	143.51
47	-1.	-1.	0.	138.22
48	-1.	-2.	0.	136.17
49	0.	1.	0.	135.15
50	0.	0.	0.	137.43
51	1.	1.	0.	135.2
52	1.	0.	0.	135.42
53	3.	-7.	0.	134.9
54	3.	-9.	0.	136.53
55	5.	-7.	0.	156.26
56	5.	-9.	0.	138.34
57	-5.	-6.	0.	137.
58	-5.	-8.	0.	136.96
59	-3.	-6.	0.	133.23
60	-3.	-8.	0.	133.38
61	10.	10.	0.	125.43
62	-10.	10.	0.	125.02
63	10.	-10.	0.	139.08
64	-10.	-10.	0.	136.48
65	-5.6028	5.	0.	100.91
66	7.52	-0.75333	0.	113.05
67	6.678	-7.6371	0.	119.47
68	5.	-7.4928	0.	128.96
69	6.9733	5.8533	0.	139.11
70	6.8967	6.3567	0.	144.91
