Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-9.	3.	0.	137.17
2	-9.	2.	0.	137.96
3	-8.	3.	0.	135.2
4	-8.	2.	0.	134.55
5	-7.	4.	0.	134.69
6	-7.	2.	0.	131.91
7	-6.	4.	0.	138.27
8	-6.	2.	0.	133.29
9	-9.	-3.	0.	137.22
10	-9.	-4.	0.	137.69
11	-7.	-3.	0.	133.97
12	-7.	-4.	0.	135.49
13	2.	9.	0.	134.8
14	2.	8.	0.	130.79
15	3.	9.	0.	136.08
16	3.	8.	0.	136.63
17	2.	4.	0.	129.99
18	2.	3.	0.	131.99
19	3.	4.	0.	139.3
20	3.	3.	0.	139.48
21	-1.	-1.	0.	136.4
22	-1.	-3.	0.	135.61
23	1.	-1.	0.	135.66
24	1.	-3.	0.	133.38
25	4.	5.	0.	138.9
26	4.	3.	0.	140.33
27	6.	5.	0.	136.85
28	6.	3.	0.	133.76
29	7.	6.	0.	136.9
30	7.	5.	0.	137.66
31	8.	6.	0.	135.76
32	8.	5.	0.	135.42
33	1.	7.	0.	135.47
34	1.	5.	0.	134.02
35	2.	7.	0.	130.11
36	2.	5.	0.	129.56
37	6.	2.	0.	133.58
38	6.	1.	0.	130.07
39	7.	2.	0.	136.65
40	7.	1.	0.	134.83
41	-5.	7.	0.	134.95
42	-5.	5.	0.	139.96
43	-3.	7.	0.	137.02
44	-3.	5.	0.	137.01
45	7.	-6.	0.	137.4
46	7.	-7.	0.	139.05
47	9.	-6.	0.	138.49
48	9.	-7.	0.	138.55
49	-9.	9.	0.	136.85
50	-9.	8.	0.	134.72
51	-8.	9.	0.	137.09
52	-8.	8.	0.	134.64
53	0.	-6.	0.	127.49
54	0.	-8.	0.	129.99
55	1.	-6.	0.	128.92
56	1.	-8.	0.	129.91
57	-5.	-4.	0.	133.31
58	-5.	-6.	0.	133.2
59	-4.	-4.	0.	133.89
60	-4.	-6.	0.	133.27
61	5.	-7.	0.	132.12
62	5.	-9.	0.	131.15
63	6.	-7.	0.	132.81
64	6.	-9.	0.	129.8
65	-8.	1.	0.	131.44
66	-8.	-1.	0.	127.74
67	-7.	1.	0.	130.82
68	-7.	-1.	0.	128.1
69	10.	10.	0.	124.99
70	-10.	10.	0.	125.41
71	10.	-10.	0.	128.75
72	-10.	-10.	0.	125.69
73	-9.	2.5	0.	147.89
74	-8.5	3.	0.	112.77
75	-8.5	2.	0.	115.24
76	-8.	2.5	0.	142.83
77	-7.	3.5	0.	144.25
78	-7.	3.	0.	142.04
79	-7.	2.5	0.	137.51
80	-6.5	4.	0.	111.41
81	-6.5	2.	0.	109.76
82	-6.	3.5	0.	144.82
83	-6.	3.	0.	143.59
84	-6.	2.5	0.	142.59
85	-9.	-3.5	0.	147.6
86	-8.5	-3.	0.	118.15
87	-8.	-3.	0.	121.12
88	-7.5	-3.	0.	115.07
89	-8.5	-4.	0.	117.96
90	-8.	-4.	0.	122.3
91	-7.5	-4.	0.	116.81
92	-7.	-3.5	0.	143.88
93	2.	8.5	0.	141.2
94	2.5	9.	0.	113.79
95	2.5	8.	0.	114.01
96	3.	8.5	0.	144.89
97	2.	3.5	0.	139.49
98	2.5	4.	0.	112.67
99	2.5	3.	0.	112.65
100	3.	3.5	0.	147.86
101	-1.	-1.5	0.	145.04
102	-1.	-2.	0.	146.13
103	-1.	-2.5	0.	144.86
104	-0.5	-1.	0.	114.49
105	0.	-1.	0.	118.57
106	0.5	-1.	0.	113.92
107	-0.5	-3.	0.	113.29
108	0.	-3.	0.	116.84
109	0.5	-3.	0.	112.23
110	1.	-1.5	0.	143.65
111	1.	-2.	0.	144.43
112	1.	-2.5	0.	142.88
113	4.	4.5	0.	150.06
114	4.	4.	0.	150.22
115	4.	3.5	0.	146.71
116	4.5	5.	0.	115.95
117	5.	5.	0.	119.78
118	5.5	5.	0.	114.83
119	4.5	3.	0.	117.72
120	5.	3.	0.	122.69
121	5.5	3.	0.	117.27
122	6.	4.5	0.	147.27
123	6.	4.	0.	146.94
124	6.	3.5	0.	143.16
125	7.	5.5	0.	148.64
126	7.5	6.	0.	113.99
127	7.5	5.	0.	112.99
128	8.	5.5	0.	145.23
129	1.	6.5	0.	142.43
130	1.	6.	0.	142.3
131	1.	5.5	0.	141.93
132	1.5	7.	0.	109.95
133	1.5	5.	0.	108.41
134	2.	6.5	0.	139.06
135	2.	6.	0.	139.84
136	2.	5.5	0.	138.65
137	6.	1.5	0.	139.92
138	6.5	2.	0.	114.81
139	6.5	1.	0.	111.
140	7.	1.5	0.	144.51
141	-5.	6.5	0.	144.56
142	-5.	6.	0.	146.41
143	-5.	5.5	0.	146.47
144	-4.5	7.	0.	114.69
145	-4.	7.	0.	119.1
146	-3.5	7.	0.	114.58
147	-4.5	5.	0.	116.79
148	-4.	5.	0.	120.54
149	-3.5	5.	0.	115.41
150	-3.	6.5	0.	145.13
151	-3.	6.	0.	146.31
152	-3.	5.5	0.	145.27
153	7.	-6.5	0.	148.21
154	7.5	-6.	0.	119.6
155	8.	-6.	0.	124.95
156	8.5	-6.	0.	120.14
157	7.5	-7.	0.	119.42
158	8.	-7.	0.	124.73
159	8.5	-7.	0.	119.83
160	9.	-6.5	0.	148.68
161	-9.	8.5	0.	146.02
162	-8.5	9.	0.	115.26
163	-8.5	8.	0.	112.85
164	-8.	8.5	0.	144.97
165	0.	-6.5	0.	137.34
166	0.	-7.	0.	138.34
167	0.	-7.5	0.	138.43
168	0.5	-6.	0.	103.95
169	0.5	-8.	0.	105.4
170	1.	-6.5	0.	138.15
171	1.	-7.	0.	138.71
172	1.	-7.5	0.	138.53
173	-5.	-4.5	0.	142.64
174	-5.	-5.	0.	143.45
175	-5.	-5.5	0.	142.9
176	-4.5	-4.	0.	108.46
177	-4.5	-6.	0.	108.72
178	-4.	-4.5	0.	143.42
179	-4.	-5.	0.	143.68
180	-4.	-5.5	0.	142.91
181	5.	-7.5	0.	141.06
182	5.	-8.	0.	141.6
183	5.	-8.5	0.	141.
184	5.5	-7.	0.	106.63
185	5.5	-9.	0.	106.35
186	6.	-7.5	0.	144.37
187	6.	-8.	0.	143.89
188	6.	-8.5	0.	141.32
189	-8.	0.5	0.	138.13
190	-8.	0.	0.	138.21
191	-8.	-0.5	0.	137.17
192	-7.5	1.	0.	110.44
193	-7.5	-1.	0.	103.61
194	-7.	0.5	0.	137.05
195	-7.	0.	0.	137.58
196	-7.	-0.5	0.	137.32
197	9.5	10.	0.	124.97
198	9.	10.	0.	124.77
199	8.5	10.	0.	124.45
200	8.	10.	0.	124.12
201	7.5	10.	0.	123.86
202	7.	10.	0.	123.73
203	6.5	10.	0.	123.75
204	6.	10.	0.	123.95
205	5.5	10.	0.	124.33
206	5.	10.	0.	124.96
207	4.5	10.	0.	125.78
208	4.	10.	0.	126.66
209	3.5	10.	0.	125.49
210	3.	10.	0.	121.04
211	2.5	10.	0.	118.97
212	2.	10.	0.	120.88
213	1.5	10.	0.	125.52
214	1.	10.	0.	127.47
215	0.5	10.	0.	127.75
216	-5.2042e-015	10.	0.	128.1
217	-0.5	10.	0.	128.35
218	-1.	10.	0.	128.32
219	-1.5	10.	0.	127.88
220	-2.	10.	0.	126.96
221	-2.5	10.	0.	125.67
222	-3.	10.	0.	124.27
223	-3.5	10.	0.	123.12
224	-4.	10.	0.	122.55
225	-4.5	10.	0.	122.68
226	-5.	10.	0.	123.44
227	-5.5	10.	0.	124.6
228	-6.	10.	0.	125.93
229	-6.5	10.	0.	127.19
230	-7.	10.	0.	128.24
231	-7.5	10.	0.	126.99
232	-8.	10.	0.	122.18
233	-8.5	10.	0.	119.63
234	-9.	10.	0.	120.94
235	-9.5	10.	0.	124.3
236	10.	9.5	0.	125.03
237	10.	9.	0.	125.45
238	10.	8.5	0.	126.2
239	10.	8.	0.	127.05
240	10.	7.5	0.	127.71
241	10.	7.	0.	127.7
242	10.	6.5	0.	126.64
243	10.	6.	0.	124.93
244	10.	5.5	0.	123.81
245	10.	5.	0.	124.18
246	10.	4.5	0.	125.41
247	10.	4.	0.	126.43
248	10.	3.5	0.	126.78
249	10.	3.	0.	126.68
250	10.	2.5	0.	126.41
251	10.	2.	0.	126.19
252	10.	1.5	0.	126.24
253	10.	1.	0.	126.61
254	10.	0.5	0.	127.17
255	10.	-5.2042e-015	0.	127.66
256	10.	-0.5	0.	127.9
257	10.	-1.	0.	127.89
258	10.	-1.5	0.	127.75
259	10.	-2.	0.	127.63
260	10.	-2.5	0.	127.68
261	10.	-3.	0.	128.06
262	10.	-3.5	0.	128.9
263	10.	-4.	0.	130.36
264	10.	-4.5	0.	132.53
265	10.	-5.	0.	134.93
266	10.	-5.5	0.	134.53
267	10.	-6.	0.	129.03
268	10.	-6.5	0.	123.98
269	10.	-7.	0.	128.35
270	10.	-7.5	0.	133.45
271	10.	-8.	0.	133.8
272	10.	-8.5	0.	131.65
273	10.	-9.	0.	129.93
274	10.	-9.5	0.	129.02
275	-10.	9.5	0.	124.66
276	-10.	9.	0.	122.79
277	-10.	8.5	0.	120.87
278	-10.	8.	0.	125.76
279	-10.	7.5	0.	129.89
280	-10.	7.	0.	129.59
281	-10.	6.5	0.	127.51
282	-10.	6.	0.	126.37
283	-10.	5.5	0.	126.27
284	-10.	5.	0.	127.04
285	-10.	4.5	0.	128.71
286	-10.	4.	0.	131.19
287	-10.	3.5	0.	132.03
288	-10.	3.	0.	129.3
289	-10.	2.5	0.	127.14
290	-10.	2.	0.	132.5
291	-10.	1.5	0.	136.51
292	-10.	1.	0.	135.04
293	-10.	0.5	0.	131.64
294	-10.	-5.2042e-015	0.	129.88
295	-10.	-0.5	0.	130.15
296	-10.	-1.	0.	132.16
297	-10.	-1.5	0.	135.06
298	-10.	-2.	0.	137.67
299	-10.	-2.5	0.	136.89
300	-10.	-3.	0.	130.56
301	-10.	-3.5	0.	124.52
302	-10.	-4.	0.	127.97
303	-10.	-4.5	0.	132.49
304	-10.	-5.	0.	132.51
305	-10.	-5.5	0.	130.02
306	-10.	-6.	0.	127.94
307	-10.	-6.5	0.	126.66
308	-10.	-7.	0.	125.99
309	-10.	-7.5	0.	125.7
310	-10.	-8.	0.	125.62
311	-10.	-8.5	0.	125.63
312	-10.	-9.	0.	125.66
313	-10.	-9.5	0.	125.68
314	-9.5	-10.	0.	125.6
315	-9.	-10.	0.	125.52
316	-8.5	-10.	0.	125.46
317	-8.	-10.	0.	125.38
318	-7.5	-10.	0.	125.28
319	-7.	-10.	0.	125.14
320	-6.5	-10.	0.	124.94
321	-6.	-10.	0.	124.7
322	-5.5	-10.	0.	124.48
323	-5.	-10.	0.	124.38
324	-4.5	-10.	0.	124.52
325	-4.	-10.	0.	124.93
326	-3.5	-10.	0.	125.56
327	-3.	-10.	0.	126.27
328	-2.5	-10.	0.	126.88
329	-2.	-10.	0.	127.19
330	-1.5	-10.	0.	126.9
331	-1.	-10.	0.	125.63
332	-0.5	-10.	0.	123.23
333	5.2042e-015	-10.	0.	120.54
334	0.5	-10.	0.	119.47
335	1.	-10.	0.	121.08
336	1.5	-10.	0.	124.4
337	2.	-10.	0.	127.62
338	2.5	-10.	0.	129.96
339	3.	-10.	0.	131.59
340	3.5	-10.	0.	132.73
341	4.	-10.	0.	133.11
342	4.5	-10.	0.	129.56
343	5.	-10.	0.	118.9
344	5.5	-10.	0.	111.9
345	6.	-10.	0.	117.28
346	6.5	-10.	0.	126.27
347	7.	-10.	0.	128.26
348	7.5	-10.	0.	126.8
349	8.	-10.	0.	125.64
