Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	4.44	7.43	0.	191.93
2	5.47	7.25	0.	142.74
3	5.12	8.24	0.	106.76
4	-7.92	7.08	0.	112.85
5	-7.16	8.16	0.	180.57
6	-8.47	8.27	0.	174.15
7	1.75	7.54	0.	180.35
8	0.9	8.35	0.	127.54
9	0.63	7.21	0.	164.02
10	4.63	-0.24	0.	169.63
11	5.74	-1.81	0.	110.21
12	6.55	-6.e-002	0.	164.94
13	-4.74	-1.43	0.	171.85
14	-6.38	-1.23	0.	168.81
15	-5.74	-2.75	0.	111.89
16	-3.77	-2.11	0.	145.73
17	-2.77	-1.55	0.	152.63
18	-3.76	-0.97	0.	146.18
19	-4.78	-7.2	0.	158.31
20	-6.01	-6.25	0.	133.65
21	-6.22	-7.8	0.	152.39
22	-3.9	-8.33	0.	154.15
23	-2.24	-7.68	0.	159.9
24	-3.64	-6.57	0.	129.22
25	4.41	-8.03	0.	103.27
26	4.95	-7.06	0.	170.82
27	3.85	-7.08	0.	171.43
28	5.	7.	0.	106.02
29	5.	5.	0.	127.91
30	6.	7.	0.	141.71
31	6.	5.	0.	130.76
32	-9.	2.	0.	139.26
33	-9.	0.	0.	139.97
34	-7.	2.	0.	134.62
35	-7.	0.	0.	143.06
36	-2.	-5.	0.	136.38
37	-2.	-6.	0.	138.14
38	0.	-5.	0.	138.91
39	0.	-6.	0.	138.13
40	10.	10.	0.	125.02
41	-10.	10.	0.	125.09
42	10.	-10.	0.	125.54
43	-10.	-10.	0.	130.9
44	5.5	7.	0.	132.43
45	5.124	7.3105	0.	112.31
46	4.782	7.3702	0.	76.089
47	4.78	7.835	0.	78.044
48	5.295	7.745	0.	116.49
49	-7.6667	7.44	0.	96.553
50	-7.4133	7.8	0.	108.9
51	-8.1033	7.4767	0.	113.49
52	-8.2867	7.8733	0.	131.77
53	-7.5967	8.1967	0.	103.96
54	-8.0333	8.2333	0.	113.99
55	1.4667	7.81	0.	75.892
56	1.1833	8.08	0.	80.284
57	1.3767	7.43	0.	80.054
58	1.0033	7.32	0.	99.827
59	0.81	7.97	0.	130.46
60	0.72	7.59	0.	144.9
61	4.9075	-0.6325	0.	105.79
62	5.185	-1.025	0.	113.28
63	5.4625	-1.4175	0.	100.27
64	5.11	-0.195	0.	107.46
65	5.59	-0.15	0.	117.49
66	6.07	-0.105	0.	108.9
67	5.9425	-1.3725	0.	115.54
68	6.145	-0.935	0.	125.35
69	6.3475	-0.4975	0.	127.16
70	-5.2867	-1.3633	0.	107.
71	-5.8333	-1.2967	0.	112.74
72	-5.0733	-1.87	0.	100.68
