Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	4.5	-6.37	0.	156.64
2	6.15	-7.5	0.	135.08
3	6.3	-5.5	0.	148.68
4	-1.5	-7.52	0.	107.5
5	-2.	-8.63	0.	165.66
6	-0.79	-8.51	0.	178.1
7	-6.99	5.2	0.	132.69
8	-8.42	4.31	0.	175.54
9	-6.93	3.52	0.	135.78
10	6.	7.	0.	135.84
11	6.	6.	0.	134.01
12	8.	7.	0.	134.22
13	8.	6.	0.	131.5
14	8.	-5.	0.	136.8
15	8.	-6.	0.	132.42
16	9.	-5.	0.	133.42
17	9.	-6.	0.	133.55
18	5.	4.	0.	134.03
19	5.	2.	0.	134.08
20	6.	4.	0.	135.63
21	6.	2.	0.	135.42
22	7.	4.	0.	135.42
23	7.	2.	0.	137.83
24	9.	4.	0.	137.63
25	9.	2.	0.	137.26
26	-1.	-1.	0.	130.54
27	-1.	-3.	0.	131.95
28	0.	-1.	0.	132.19
29	0.	-3.	0.	132.29
30	-2.	8.	0.	133.82
31	-2.	6.	0.	133.37
32	-1.	8.	0.	132.98
33	-1.	6.	0.	133.54
34	-3.	-5.	0.	138.04
35	-3.	-6.	0.	138.54
36	-1.	-5.	0.	132.56
37	-1.	-6.	0.	130.1
38	0.	4.	0.	135.23
39	0.	3.	0.	133.39
40	2.	4.	0.	136.79
41	2.	3.	0.	136.15
42	-6.	-7.	0.	133.88
43	-6.	-8.	0.	128.64
44	-5.	-7.	0.	138.31
45	-5.	-8.	0.	136.02
46	-8.	2.	0.	128.52
47	-8.	0.	0.	126.23
48	-6.	2.	0.	136.1
49	-6.	0.	0.	136.75
50	-9.	-1.	0.	142.62
51	-9.	-2.	0.	140.84
52	-7.	-1.	0.	121.17
53	-7.	-2.	0.	124.36
54	-8.	-4.	0.	131.
55	-8.	-6.	0.	135.6
56	-6.	-4.	0.	133.88
57	-6.	-6.	0.	133.95
58	10.	10.	0.	124.97
59	-10.	10.	0.	124.99
60	10.	-10.	0.	127.24
61	-10.	-10.	0.	128.6
62	4.9125	-6.6525	0.	87.881
63	5.325	-6.935	0.	106.19
64	5.7375	-7.2175	0.	93.996
65	4.95	-6.1525	0.	93.178
66	5.4	-5.935	0.	109.29
67	5.85	-5.7175	0.	100.61
68	6.1875	-7.	0.	142.03
69	6.225	-6.5	0.	143.94
70	6.2625	-6.	0.	143.2
71	-1.6667	-7.89	0.	109.41
72	-1.8333	-8.26	0.	127.24
73	-1.2633	-7.85	0.	89.098
74	-1.0267	-8.18	0.	106.94
75	-1.5967	-8.59	0.	104.17
76	-1.1933	-8.55	0.	91.908
77	-7.3475	4.9775	0.	95.632
78	-7.705	4.755	0.	101.15
79	-8.0625	4.5325	0.	77.774
80	-6.975	4.78	0.	138.37
81	-6.96	4.36	0.	139.11
82	-6.945	3.94	0.	137.47
83	-8.0475	4.1125	0.	78.163
84	-7.675	3.915	0.	102.91
85	-7.3025	3.7175	0.	93.68
86	6.	6.5	0.	143.18
87	6.5	7.	0.	116.67
88	7.	7.	0.	121.68
89	7.5	7.	0.	116.36
90	6.5	6.	0.	117.01
91	7.	6.	0.	120.91
92	7.5	6.	0.	114.26
93	8.	6.5	0.	141.51
94	8.	-5.5	0.	143.52
95	8.5	-5.	0.	112.38
96	8.5	-6.	0.	110.7
97	9.	-5.5	0.	144.
98	5.	3.5	0.	142.65
99	5.	3.	0.	142.71
100	5.	2.5	0.	142.66
101	5.5	4.	0.	109.42
102	5.5	2.	0.	109.03
103	6.	3.5	0.	142.64
104	6.	3.	0.	143.9
105	6.	2.5	0.	143.08
106	7.	3.5	0.	144.2
107	7.	3.	0.	146.95
108	7.	2.5	0.	145.46
109	7.5	4.	0.	112.58
110	8.	4.	0.	118.42
111	8.5	4.	0.	116.04
112	7.5	2.	0.	114.6
113	8.	2.	0.	119.04
114	8.5	2.	0.	115.23
115	9.	3.5	0.	148.81
116	9.	3.	0.	150.43
117	9.	2.5	0.	148.52
118	-1.	-1.5	0.	139.88
119	-1.	-2.	0.	140.17
120	-1.	-2.5	0.	139.59
121	-0.5	-1.	0.	106.8
122	-0.5	-3.	0.	107.83
123	0.	-1.5	0.	140.89
124	0.	-2.	0.	141.63
125	0.	-2.5	0.	141.69
126	-2.	7.5	0.	142.34
127	-2.	7.	0.	142.67
128	-2.	6.5	0.	142.31
129	-1.5	8.	0.	109.1
130	-1.5	6.	0.	108.97
131	-1.	7.5	0.	141.53
132	-1.	7.	0.	141.8
133	-1.	6.5	0.	141.53
134	-3.	-5.5	0.	146.75
135	-2.5	-5.	0.	118.57
136	-2.	-5.	0.	122.15
137	-1.5	-5.	0.	115.06
138	-2.5	-6.	0.	118.41
139	-2.	-6.	0.	120.21
140	-1.5	-6.	0.	112.86
141	-1.	-5.5	0.	139.8
142	0.	3.5	0.	142.49
143	0.5	4.	0.	117.2
144	1.	4.	0.	122.81
145	1.5	4.	0.	117.84
146	0.5	3.	0.	116.15
147	1.	3.	0.	121.83
148	1.5	3.	0.	117.11
149	2.	3.5	0.	144.82
150	-6.	-7.5	0.	138.91
151	-5.5	-7.	0.	115.2
152	-5.5	-8.	0.	110.76
153	-5.	-7.5	0.	146.45
154	-8.	1.5	0.	138.34
155	-8.	1.	0.	139.03
156	-8.	0.5	0.	136.67
157	-7.5	2.	0.	106.81
158	-7.	2.	0.	112.5
159	-6.5	2.	0.	112.23
160	-7.5	0.	0.	106.6
161	-7.	0.	0.	114.74
162	-6.5	0.	0.	114.41
163	-6.	1.5	0.	144.41
164	-6.	1.	0.	145.49
165	-6.	0.5	0.	144.59
166	-9.	-1.5	0.	151.28
167	-8.5	-1.	0.	121.34
168	-8.	-1.	0.	119.4
169	-7.5	-1.	0.	107.47
170	-8.5	-2.	0.	118.37
171	-8.	-2.	0.	118.43
172	-7.5	-2.	0.	109.03
173	-7.	-1.5	0.	131.3
174	-8.	-4.5	0.	142.08
175	-8.	-5.	0.	144.64
176	-8.	-5.5	0.	144.3
177	-7.5	-4.	0.	109.67
178	-7.	-4.	0.	115.06
179	-6.5	-4.	0.	112.43
180	-7.5	-6.	0.	114.51
181	-7.	-6.	0.	119.64
182	-6.5	-6.	0.	114.6
183	-6.	-4.5	0.	142.54
184	-6.	-5.	0.	142.94
185	-6.	-5.5	0.	140.89
186	9.5	10.	0.	124.92
187	9.	10.	0.	124.48
188	8.5	10.	0.	123.74
189	8.	10.	0.	122.96
190	7.5	10.	0.	122.4
191	7.	10.	0.	122.29
192	6.5	10.	0.	122.72
193	6.	10.	0.	123.6
194	5.5	10.	0.	124.69
195	5.	10.	0.	125.7
196	4.5	10.	0.	126.47
197	4.	10.	0.	126.96
198	3.5	10.	0.	127.23
199	3.	10.	0.	127.37
200	2.5	10.	0.	127.45
201	2.	10.	0.	127.51
202	1.5	10.	0.	127.55
203	1.	10.	0.	127.51
204	0.5	10.	0.	127.21
205	-5.2042e-015	10.	0.	126.4
206	-0.5	10.	0.	125.03
207	-1.	10.	0.	123.61
208	-1.5	10.	0.	123.05
209	-2.	10.	0.	123.75
210	-2.5	10.	0.	125.27
211	-3.	10.	0.	126.66
212	-3.5	10.	0.	127.35
213	-4.	10.	0.	127.41
214	-4.5	10.	0.	127.08
215	-5.	10.	0.	126.56
216	-5.5	10.	0.	125.99
217	-6.	10.	0.	125.44
218	-6.5	10.	0.	124.98
219	-7.	10.	0.	124.65
220	-7.5	10.	0.	124.49
221	-8.	10.	0.	124.5
222	-8.5	10.	0.	124.64
223	-9.	10.	0.	124.84
224	-9.5	10.	0.	124.97
225	10.	9.5	0.	125.1
226	10.	9.	0.	125.87
227	10.	8.5	0.	126.79
228	10.	8.	0.	127.12
229	10.	7.5	0.	126.5
230	10.	7.	0.	125.61
231	10.	6.5	0.	126.04
232	10.	6.	0.	128.96
233	10.	5.5	0.	133.72
234	10.	5.	0.	138.62
235	10.	4.5	0.	140.17
236	10.	4.	0.	136.14
237	10.	3.5	0.	130.91
238	10.	3.	0.	129.63
239	10.	2.5	0.	129.51
240	10.	2.	0.	133.58
241	10.	1.5	0.	137.05
242	10.	1.	0.	136.02
243	10.	0.5	0.	132.69
244	10.	-5.2042e-015	0.	129.92
245	10.	-0.5	0.	128.06
246	10.	-1.	0.	126.94
247	10.	-1.5	0.	126.36
248	10.	-2.	0.	126.22
249	10.	-2.5	0.	126.47
250	10.	-3.	0.	127.2
251	10.	-3.5	0.	128.61
252	10.	-4.	0.	130.6
253	10.	-4.5	0.	130.59
254	10.	-5.	0.	126.07
255	10.	-5.5	0.	121.2
256	10.	-6.	0.	124.04
257	10.	-6.5	0.	127.51
258	10.	-7.	0.	127.51
259	10.	-7.5	0.	126.22
260	10.	-8.	0.	125.86
261	10.	-8.5	0.	126.2
262	10.	-9.	0.	126.71
263	10.	-9.5	0.	127.1
264	-10.	9.5	0.	125.03
265	-10.	9.	0.	125.34
266	-10.	8.5	0.	125.89
267	-10.	8.	0.	126.68
268	-10.	7.5	0.	127.73
269	-10.	7.	0.	128.98
270	-10.	6.5	0.	130.17
271	-10.	6.	0.	130.69
272	-10.	5.5	0.	129.58
273	-10.	5.	0.	126.8
274	-10.	4.5	0.	124.42
275	-10.	4.	0.	126.71
276	-10.	3.5	0.	131.68
277	-10.	3.	0.	134.9
278	-10.	2.5	0.	135.02
279	-10.	2.	0.	132.98
280	-10.	1.5	0.	130.96
281	-10.	1.	0.	130.84
282	-10.	0.5	0.	133.37
283	-10.	-5.2042e-015	0.	137.86
284	-10.	-0.5	0.	140.14
285	-10.	-1.	0.	136.72
286	-10.	-1.5	0.	132.77
287	-10.	-2.	0.	137.64
288	-10.	-2.5	0.	142.53
289	-10.	-3.	0.	141.72
290	-10.	-3.5	0.	137.16
291	-10.	-4.	0.	132.1
292	-10.	-4.5	0.	127.97
293	-10.	-5.	0.	125.8
294	-10.	-5.5	0.	125.74
295	-10.	-6.	0.	127.31
296	-10.	-6.5	0.	129.19
297	-10.	-7.	0.	130.29
298	-10.	-7.5	0.	130.35
299	-10.	-8.	0.	129.85
300	-10.	-8.5	0.	129.29
301	-10.	-9.	0.	128.88
302	-10.	-9.5	0.	128.67
303	-9.5	-10.	0.	127.82
304	-9.	-10.	0.	126.83
305	-8.5	-10.	0.	125.78
306	-8.	-10.	0.	124.79
307	-7.5	-10.	0.	123.85
308	-7.	-10.	0.	122.76
309	-6.5	-10.	0.	121.34
310	-6.	-10.	0.	120.16
311	-5.5	-10.	0.	120.59
312	-5.	-10.	0.	123.23
313	-4.5	-10.	0.	126.96
314	-4.	-10.	0.	130.12
315	-3.5	-10.	0.	132.18
316	-3.	-10.	0.	132.56
317	-2.5	-10.	0.	128.42
318	-2.	-10.	0.	118.8
319	-1.5	-10.	0.	111.84
320	-1.	-10.	0.	116.18
321	-0.5	-10.	0.	126.41
322	5.2042e-015	-10.	0.	132.14
323	0.5	-10.	0.	133.56
324	1.	-10.	0.	132.96
325	1.5	-10.	0.	132.21
326	2.	-10.	0.	131.61
327	2.5	-10.	0.	130.97
328	3.	-10.	0.	130.06
329	3.5	-10.	0.	128.63
330	4.	-10.	0.	126.56
331	4.5	-10.	0.	124.02
332	5.	-10.	0.	121.56
333	5.5	-10.	0.	120.04
334	6.	-10.	0.	120.06
335	6.5	-10.	0.	121.45
336	7.	-10.	0.	123.32
337	7.5	-10.	0.	124.8
338	8.	-10.	0.	125.6
339	8.5	-10.	0.	125.93
340	9.	-10.	0.	126.13
341	9.5	-10.	0.	126.48
342	3.5676	-1.9047	0.	126.71
343	4.0342	-1.9084	0.	125.88
344	5.4717	-2.4888	0.	122.76
345	4.513	-1.9311	0.	124.89
346	4.9987	-1.9609	0.	123.9
347	4.4964	-2.4059	0.	124.72
348	4.0217	-1.4432	0.	126.14
349	5.4985	-1.4922	0.	123.36
350	5.9657	-2.5244	0.	122.43
351	4.9511	-2.9265	0.	123.28
352	4.5134	-1.4528	0.	125.19
353	5.0048	-1.4719	0.	124.2
354	4.4647	-2.8775	0.	124.71
355	3.9797	-2.8261	0.	126.1
356	5.9943	-1.5072	0.	122.74
357	5.9841	-2.0132	0.	122.62
358	-2.9989	1.4987	0.	127.8
359	5.5013	-0.99373	0.	123.59
360	-3.4913	3.4854	0.	127.88
361	-3.4991	0.99859	0.	128.56
362	2.5436	-2.0608	0.	127.91
363	-3.9891	3.9683	0.	128.26
364	3.0011	1.793e-003	0.	128.9
365	-2.4993	1.4993	0.	127.2
366	-2.9994	0.99919	0.	128.14
367	-3.5	-2.	0.	128.97
368	-2.9944	3.4921	0.	126.66
369	5.9366	-3.0425	0.	122.05
370	-4.	-2.	0.	129.8
371	5.398	-3.474	0.	121.33
372	-2.9979	1.9976	0.	127.53
373	-2.9951	2.9941	0.	126.86
374	-2.9964	2.4958	0.	127.21
375	4.5081	-0.96917	0.	125.6
376	5.0048	-0.98068	0.	124.52
377	3.0111	-1.0048	0.	127.75
378	3.0035	-0.49933	0.	128.27
379	2.9516	-3.6712	0.	129.41
380	2.9739	-3.1594	0.	128.64
381	3.9399	-3.2964	0.	126.61
382	6.4911	-1.5155	0.	122.36
383	6.4806	-2.0254	0.	122.45
384	-3.4922	2.9889	0.	128.14
385	6.4963	-1.0092	0.	122.34
386	-2.4987	1.9987	0.	126.79
387	3.	6.5	0.	126.92
388	5.5017	-0.49543	0.	123.76
389	-3.5	-1.5	0.	129.05
390	2.4586	-4.1366	0.	130.2
391	2.5145	-2.5858	0.	128.45
392	4.8566	-3.8654	0.	122.71
393	3.4312	-3.7258	0.	128.71
394	-4.5374	6.4383	0.	127.43
395	-3.9875	3.475	0.	128.84
396	-4.	-1.5	0.	129.7
397	-1.9996	1.4996	0.	126.57
398	-2.4996	0.99957	0.	127.64
399	1.9684	-4.604	0.	129.8
400	2.0235	-2.0472	0.	128.27
401	2.9392	-4.1794	0.	130.06
402	2.4388	-7.1022	0.	128.2
403	-3.	-2.	0.	127.96
404	-3.5	-2.5	0.	129.2
405	3.	0.50147	0.	129.59
406	-3.4927	3.9809	0.	127.83
407	1.4777	-5.0679	0.	128.5
408	3.5	6.	0.	128.82
409	6.4396	-3.0626	0.	122.77
410	-4.	-2.5	0.	130.36
411	-4.5	-2.	0.	129.9
412	-4.9839	4.4213	0.	126.47
413	1.5	6.5	0.	123.83
414	3.5	6.5	0.	127.4
415	1.9566	-7.0655	0.	128.26
416	1.4707	-7.0242	0.	128.6
417	-3.4965	1.9953	0.	128.44
418	-3.4942	2.4921	0.	128.37
419	-3.4999	-2.7637e-004	0.	129.21
420	1.4757	-6.0524	0.	127.84
421	6.0001	-0.50149	0.	123.06
422	6.4986	-0.5052	0.	122.47
423	-4.5084	5.4326	0.	127.65
424	-2.4978	2.4978	0.	126.26
425	2.0005	0.49744	0.	127.37
426	2.5002	0.49909	0.	128.65
427	2.	6.5	0.	124.76
428	4.5042	-0.48049	0.	126.11
429	5.0033	-0.48732	0.	124.82
430	2.5128	-1.0182	0.	127.95
431	2.5047	-0.50789	0.	128.26
432	-3.5	-0.50012	0.	129.39
433	2.4683	-3.6246	0.	129.89
434	2.4867	-3.1086	0.	129.22
435	4.3841	-3.8202	0.	125.4
436	3.9087	-3.7764	0.	127.44
437	1.965	-5.5997	0.	128.16
438	1.9621	-6.0903	0.	127.72
439	1.5	7.	0.	124.18
440	6.9882	-1.5184	0.	122.17
441	6.9795	-2.0272	0.	122.46
442	6.9943	-1.0117	0.	121.93
443	-4.5445	6.9488	0.	126.97
444	-4.0318	6.9625	0.	127.37
445	-5.0658	6.9332	0.	126.71
446	3.	7.	0.	126.16
447	-4.0287	6.4576	0.	127.75
448	-3.9997	4.9579	0.	128.19
449	-3.9974	1.4955	0.	129.21
450	-3.9888	2.9815	0.	129.48
451	-4.	-1.	0.	129.88
452	-3.9995	0.49882	0.	129.27
453	0.98388	-6.9785	0.	129.29
454	-4.9923	4.9102	0.	126.54
455	-6.0945	7.0919	0.	124.61
456	-1.9992	1.9993	0.	126.3
457	1.5002	0.99855	0.	124.33
458	3.	6.	0.	128.24
459	4.0015	1.1766e-002	0.	128.19
460	5.5013	3.1331e-003	0.	123.75
461	2.0212	-1.534	0.	128.01
462	2.0019	-5.4158e-003	0.	127.95
463	1.0003	0.99869	0.	122.58
464	-1.9997	0.99976	0.	126.8
465	-2.9999	-1.7844e-004	0.	129.
466	-3.	-1.5	0.	128.35
467	1.9713	-4.098	0.	130.39
468	2.01	-2.5609	0.	128.92
469	4.8175	-4.3218	0.	122.84
470	2.4538	-5.1478	0.	129.32
471	2.442	-6.615	0.	127.46
472	2.9358	-4.6866	0.	130.35
473	-3.	-2.5	0.	127.77
474	-2.4998	0.49976	0.	128.25
475	1.5009	0.49666	0.	126.02
476	3.5002	0.50442	0.	129.95
477	2.9998	1.0009	0.	130.26
478	-1.4997	1.4998	0.	125.86
479	-5.6237	6.9127	0.	126.14
480	-1.9978	3.498	0.	124.
481	-2.9953	3.9896	0.	126.85
482	-3.4961	4.4769	0.	128.2
483	1.4784	-4.5688	0.	129.58
484	0.9852	-5.529	0.	127.25
485	3.5	5.5	0.	130.64
486	6.999	-4.0145e-003	0.	121.91
487	6.9508	-3.052	0.	123.64
488	-3.5222	6.9749	0.	128.22
489	-4.5	-1.5	0.	129.83
490	-4.5	-2.5	0.	130.78
491	1.5139	-2.0347	0.	128.82
492	-2.5	-2.	0.	127.44
493	5.2783	-4.3615	0.	118.77
494	1.0002	1.4992	0.	120.41
495	-4.9797	3.9358	0.	127.58
496	-4.4837	3.4628	0.	129.55
497	0.5	7.	0.	125.37
498	1.	6.5	0.	123.72
499	1.5	6.	0.	123.43
500	5.8902	-3.5776	0.	121.1
501	4.	6.5	0.	127.37
502	3.5	7.	0.	126.64
503	2.4373	-7.5865	0.	129.16
504	1.9473	-7.551	0.	128.87
505	1.4548	-7.5104	0.	128.84
506	0.96639	-7.46	0.	129.17
507	-4.019	5.9555	0.	128.17
508	-4.0088	5.4558	0.	128.32
509	-3.995	1.992	0.	129.58
510	-3.9917	2.487	0.	129.76
511	-4.	-0.50018	0.	129.95
512	-3.9998	-5.7006e-004	0.	129.69
513	0.98532	-6.016	0.	127.79
514	6.0005	-4.8459e-004	0.	123.34
515	6.4997	-2.8766e-003	0.	122.98
516	-5.0024	5.4071	0.	127.24
517	-5.0223	5.905	0.	127.65
518	-6.5664	7.0917	0.	122.75
519	-7.0445	7.0627	0.	120.8
520	-1.9982	2.9985	0.	124.77
521	2.0002	0.99855	0.	126.62
522	2.5	0.99954	0.	128.78
523	2.5	6.	0.	126.91
524	2.	6.	0.	125.04
525	4.5021	1.221e-002	0.	126.76
526	5.002	8.0541e-003	0.	124.99
527	2.0127	-1.0219	0.	128.09
528	2.0068	-0.51376	0.	128.18
529	0.50047	0.99878	0.	121.65
530	-0.99961	0.99964	0.	123.61
531	-1.4997	0.99978	0.	125.4
532	-3.	-0.50009	0.	129.12
533	1.9798	-3.5885	0.	130.4
534	3.8877	-4.262	0.	128.69
535	2.453	-5.643	0.	128.31
536	2.4483	-6.1285	0.	127.53
537	-3.5	-3.	0.	129.73
538	4.	7.	0.	126.89
539	6.4079	-3.5961	0.	122.95
540	1.	6.	0.	123.06
541	1.	5.5	0.	121.81
542	5.3196e-002	-7.6964	0.	130.03
543	-4.8319e-006	7.	0.	127.99
544	1.	1.9997	0.	118.04
545	1.	5.	0.	119.71
546	4.	3.0001	0.	130.74
547	1.0076	-2.0216	0.	130.3
