Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-6.	-7.	0.	135.18
2	-6.	-9.	0.	130.47
3	-4.	-7.	0.	132.86
4	-4.	-9.	0.	130.1
5	-6.	4.	0.	137.03
6	-6.	3.	0.	136.69
7	-4.	4.	0.	133.46
8	-4.	3.	0.	136.28
9	6.	3.	0.	134.06
10	6.	2.	0.	135.52
11	8.	3.	0.	130.47
12	8.	2.	0.	130.38
13	-4.	-5.	0.	127.99
14	-4.	-6.	0.	133.12
15	-3.	-5.	0.	135.01
16	-3.	-6.	0.	136.45
17	-8.	6.	0.	134.39
18	-8.	4.	0.	134.
19	-7.	6.	0.	134.68
20	-7.	4.	0.	134.5
21	1.	-4.	0.	135.38
22	1.	-5.	0.	133.76
23	2.	-4.	0.	134.18
24	2.	-5.	0.	134.37
25	4.	9.	0.	137.02
26	4.	8.	0.	134.31
27	5.	9.	0.	135.41
28	5.	8.	0.	135.06
29	1.	-8.	0.	135.14
30	1.	-9.	0.	134.5
31	2.	-8.	0.	135.12
32	2.	-9.	0.	135.39
33	4.	-8.	0.	136.16
34	4.	-9.	0.	134.55
35	6.	-8.	0.	128.14
36	6.	-9.	0.	128.26
37	-6.	7.	0.	137.34
38	-6.	6.	0.	137.38
39	-4.	7.	0.	136.01
40	-4.	6.	0.	133.45
41	7.	-1.	0.	132.25
42	7.	-3.	0.	136.88
43	9.	-1.	0.	135.04
44	9.	-3.	0.	140.6
45	-8.	-3.	0.	132.24
46	-8.	-5.	0.	132.98
47	-7.	-3.	0.	130.49
48	-7.	-5.	0.	133.06
49	-3.	1.	0.	136.77
50	-3.	0.	0.	134.64
51	-1.	1.	0.	137.28
52	-1.	0.	0.	137.27
53	8.	1.	0.	128.06
54	8.	0.	0.	120.7
55	9.	1.	0.	138.34
56	9.	0.	0.	133.84
57	6.	5.	0.	135.05
58	6.	4.	0.	132.86
59	8.	5.	0.	134.4
60	8.	4.	0.	132.45
61	5.	-4.	0.	136.59
62	5.	-6.	0.	132.51
63	7.	-4.	0.	136.62
64	7.	-6.	0.	132.74
65	2.	1.	0.	137.12
66	2.	0.	0.	137.22
67	4.	1.	0.	138.38
68	4.	0.	0.	137.58
69	10.	10.	0.	124.99
70	-10.	10.	0.	124.99
71	10.	-10.	0.	128.24
72	-10.	-10.	0.	127.
73	-6.	-7.5	0.	141.98
74	-6.	-8.	0.	142.39
75	-6.	-8.5	0.	140.63
76	-5.5	-7.	0.	113.72
77	-5.	-7.	0.	119.13
78	-4.5	-7.	0.	114.17
79	-5.5	-9.	0.	108.71
80	-5.	-9.	0.	111.92
81	-4.5	-9.	0.	108.57
82	-4.	-7.5	0.	139.6
83	-4.	-8.	0.	141.04
84	-4.	-8.5	0.	139.89
85	-6.	3.5	0.	147.22
86	-5.5	4.	0.	116.44
87	-5.	4.	0.	120.09
88	-4.5	4.	0.	115.1
89	-5.5	3.	0.	118.05
90	-5.	3.	0.	122.88
91	-4.5	3.	0.	117.71
92	-4.	3.5	0.	143.33
93	6.	2.5	0.	144.06
94	6.5	3.	0.	112.41
95	7.	3.	0.	115.33
96	7.5	3.	0.	111.56
97	6.5	2.	0.	115.38
98	7.	2.	0.	119.73
99	7.5	2.	0.	113.67
100	8.	2.5	0.	138.49
101	-4.	-5.5	0.	138.29
