Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-4.	-2.	0.	132.97
2	-4.	-3.	0.	131.94
3	-3.	-2.	0.	135.53
4	-3.	-3.	0.	135.65
5	8.	7.	0.	127.57
6	8.	6.	0.	130.47
7	9.	7.	0.	132.99
8	9.	6.	0.	133.96
9	4.	-7.	0.	128.52
10	4.	-8.	0.	130.3
11	5.	-7.	0.	131.87
12	5.	-8.	0.	133.46
13	-3.	-7.	0.	134.93
14	-3.	-8.	0.	131.93
15	-2.	-7.	0.	133.5
16	-2.	-8.	0.	133.43
17	-4.	4.	0.	134.62
18	-4.	2.	0.	132.
19	-3.	4.	0.	133.47
20	-3.	2.	0.	132.35
21	-3.	8.	0.	136.13
22	-3.	7.	0.	135.05
23	-1.	8.	0.	135.4
24	-1.	7.	0.	134.71
25	7.	2.	0.	131.27
26	7.	0.	0.	133.15
27	8.	2.	0.	132.02
28	8.	0.	0.	132.22
29	7.	9.	0.	139.51
30	7.	8.	0.	137.51
31	9.	9.	0.	138.51
32	9.	8.	0.	133.53
33	-8.	1.	0.	134.58
34	-8.	0.	0.	131.32
35	-6.	1.	0.	137.35
36	-6.	0.	0.	138.6
37	-8.	-1.	0.	130.58
38	-8.	-3.	0.	132.43
39	-7.	-1.	0.	125.89
40	-7.	-3.	0.	131.02
41	6.	-7.	0.	137.72
42	6.	-8.	0.	134.74
43	7.	-7.	0.	136.64
44	7.	-8.	0.	134.29
45	-7.	8.	0.	137.52
46	-7.	6.	0.	135.85
47	-5.	8.	0.	136.58
48	-5.	6.	0.	138.45
49	-2.	-2.	0.	138.04
50	-2.	-3.	0.	138.15
51	0.	-2.	0.	137.29
52	0.	-3.	0.	135.09
53	-5.	-5.	0.	135.64
54	-5.	-6.	0.	134.36
55	-4.	-5.	0.	133.16
56	-4.	-6.	0.	135.48
57	2.	8.	0.	135.26
58	2.	7.	0.	134.44
59	4.	8.	0.	135.3
60	4.	7.	0.	134.92
61	1.	-7.	0.	132.39
62	1.	-9.	0.	130.22
63	2.	-7.	0.	132.81
64	2.	-9.	0.	129.62
65	3.	-3.	0.	134.27
66	3.	-5.	0.	136.18
67	5.	-3.	0.	136.01
68	5.	-5.	0.	133.9
69	8.	-4.	0.	134.12
70	8.	-5.	0.	136.99
71	9.	-4.	0.	136.19
72	9.	-5.	0.	136.58
73	1.	2.	0.	131.04
74	1.	0.	0.	133.86
75	2.	2.	0.	130.93
76	2.	0.	0.	133.05
77	10.	10.	0.	125.48
78	-10.	10.	0.	125.04
79	10.	-10.	0.	130.79
80	-10.	-10.	0.	126.57
81	-4.	-2.5	0.	141.78
82	-3.5	-2.	0.	110.79
83	-3.5	-3.	0.	110.76
84	-3.	-2.5	0.	141.88
85	8.	6.5	0.	137.97
86	8.5	7.	0.	107.84
87	8.5	6.	0.	109.27
88	9.	6.5	0.	143.86
89	4.	-7.5	0.	138.45
90	4.5	-7.	0.	107.3
91	4.5	-8.	0.	108.67
92	5.	-7.5	0.	139.81
93	-3.	-7.5	0.	142.57
94	-2.5	-7.	0.	111.61
95	-2.5	-8.	0.	110.65
96	-2.	-7.5	0.	142.51
97	-4.	3.5	0.	142.39
98	-4.	3.	0.	142.43
99	-4.	2.5	0.	141.9
100	-3.5	4.	0.	109.92
101	-3.5	2.	0.	107.62
102	-3.	3.5	0.	141.78
103	-3.	3.	0.	141.85
104	-3.	2.5	0.	141.04
105	-3.	7.5	0.	143.57
106	-2.5	8.	0.	117.3
107	-2.	8.	0.	122.53
108	-1.5	8.	0.	116.98
109	-2.5	7.	0.	116.12
110	-2.	7.	0.	121.73
111	-1.5	7.	0.	116.8
