Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-8.	4.	0.	132.29
2	-8.	2.	0.	134.41
3	-6.	4.	0.	135.51
4	-6.	2.	0.	134.55
5	3.	-4.	0.	132.26
6	3.	-5.	0.	132.1
7	4.	-4.	0.	128.44
8	4.	-5.	0.	123.9
9	-4.	8.	0.	134.6
10	-4.	7.	0.	136.67
11	-3.	8.	0.	132.28
12	-3.	7.	0.	131.29
13	1.	-6.	0.	139.2
14	1.	-8.	0.	133.52
15	2.	-6.	0.	140.54
16	2.	-8.	0.	137.41
17	-7.	-1.	0.	128.91
18	-7.	-3.	0.	130.72
19	-6.	-1.	0.	129.85
20	-6.	-3.	0.	133.36
21	-5.	-3.	0.	140.01
22	-5.	-4.	0.	137.51
23	-3.	-3.	0.	138.75
24	-3.	-4.	0.	136.09
25	-1.	3.	0.	139.74
26	-1.	1.	0.	135.84
27	1.	3.	0.	137.64
28	1.	1.	0.	137.04
29	-4.	5.	0.	138.23
30	-4.	4.	0.	138.33
31	-2.	5.	0.	137.1
32	-2.	4.	0.	141.32
33	-1.	-4.	0.	134.42
34	-1.	-6.	0.	138.38
35	0.	-4.	0.	134.04
36	0.	-6.	0.	138.91
37	-7.	9.	0.	135.6
38	-7.	8.	0.	137.
39	-5.	9.	0.	140.17
40	-5.	8.	0.	139.96
41	6.	5.	0.	127.31
42	6.	3.	0.	130.37
43	7.	5.	0.	130.97
44	7.	3.	0.	130.37
45	8.	-1.	0.	133.61
46	8.	-3.	0.	135.1
47	9.	-1.	0.	135.3
48	9.	-3.	0.	135.36
49	8.	7.	0.	134.44
50	8.	5.	0.	138.47
51	9.	7.	0.	134.69
52	9.	5.	0.	135.74
53	3.	-6.	0.	133.28
54	3.	-8.	0.	137.16
55	5.	-6.	0.	138.74
56	5.	-8.	0.	136.89
57	6.	7.	0.	132.36
58	6.	6.	0.	127.43
59	7.	7.	0.	135.09
60	7.	6.	0.	130.93
61	-5.	-7.	0.	134.38
62	-5.	-9.	0.	133.81
63	-3.	-7.	0.	135.36
64	-3.	-9.	0.	134.2
65	4.	1.	0.	136.03
66	4.	-1.	0.	136.07
67	6.	1.	0.	134.27
68	6.	-1.	0.	134.43
69	-9.	7.	0.	140.07
70	-9.	6.	0.	139.14
71	-7.	7.	0.	135.85
72	-7.	6.	0.	130.19
73	6.	-6.	0.	140.6
74	6.	-7.	0.	139.71
75	8.	-6.	0.	136.51
76	8.	-7.	0.	136.63
77	-9.	-5.	0.	139.67
78	-9.	-7.	0.	139.23
79	-7.	-5.	0.	137.02
80	-7.	-7.	0.	137.81
81	10.	10.	0.	124.95
82	-10.	10.	0.	124.98
83	10.	-10.	0.	131.39
84	-10.	-10.	0.	128.54
