Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	8.37	-0.76	0.	158.18
2	8.13	0.8	0.	130.12
3	6.9	-0.2	0.	160.25
4	-0.3	-2.35	0.	160.39
5	1.61	-1.91	0.	172.38
6	0.27	-0.47	0.	116.8
7	-8.26	-4.13	0.	168.44
8	-7.13	-5.22	0.	124.16
9	-6.75	-3.7	0.	161.42
10	5.	8.	0.	136.75
11	5.	7.	0.	136.14
12	7.	8.	0.	136.76
13	7.	7.	0.	135.93
14	1.	4.	0.	132.12
15	1.	3.	0.	131.73
16	2.	4.	0.	133.35
17	2.	3.	0.	132.35
18	-8.	9.	0.	139.62
19	-8.	7.	0.	136.95
20	-6.	9.	0.	140.03
21	-6.	7.	0.	136.57
22	10.	10.	0.	125.03
23	-10.	10.	0.	125.15
24	10.	-10.	0.	125.19
25	-10.	-10.	0.	126.03
26	8.29	-0.24	0.	143.08
27	8.21	0.28	0.	141.01
28	7.88	-0.57333	0.	104.94
29	7.39	-0.38667	0.	92.544
30	7.72	0.46667	0.	88.633
31	7.31	0.13333	0.	75.534
32	0.1775	-2.24	0.	107.81
33	0.655	-2.13	0.	114.92
34	1.1325	-2.02	0.	99.232
35	-0.1575	-1.88	0.	136.65
36	-1.5e-002	-1.41	0.	134.69
37	0.1275	-0.94	0.	126.85
38	1.275	-1.55	0.	92.275
39	0.94	-1.19	0.	106.58
40	0.605	-0.83	0.	92.57
41	-7.8833	-4.4933	0.	79.812
42	-7.5067	-4.8567	0.	87.249
43	-7.7567	-3.9867	0.	104.11
44	-7.2533	-3.8433	0.	107.99
45	-7.0033	-4.7133	0.	134.88
46	-6.8767	-4.2067	0.	138.53
47	5.	7.5	0.	144.87
48	5.5	8.	0.	118.75
49	6.	8.	0.	124.24
50	6.5	8.	0.	118.81
51	5.5	7.	0.	118.41
52	6.	7.	0.	123.57
53	6.5	7.	0.	118.28
54	7.	7.5	0.	144.88
55	1.	3.5	0.	141.06
56	1.5	4.	0.	110.49
57	1.5	3.	0.	110.08
58	2.	3.5	0.	142.24
59	-8.	8.5	0.	148.24
60	-8.	8.	0.	149.34
61	-8.	7.5	0.	147.47
62	-7.5	9.	0.	119.72
63	-7.	9.	0.	126.01
64	-6.5	9.	0.	119.46
65	-7.5	7.	0.	116.81
66	-7.	7.	0.	121.16
67	-6.5	7.	0.	116.47
68	-6.	8.5	0.	147.21
69	-6.	8.	0.	147.99
70	-6.	7.5	0.	146.27
71	9.5	10.	0.	125.14
72	9.	10.	0.	125.55
73	8.5	10.	0.	125.87
74	8.	10.	0.	125.68
75	7.5	10.	0.	124.66
76	7.	10.	0.	123.01
77	6.5	10.	0.	121.5
78	6.	10.	0.	120.91
79	5.5	10.	0.	121.59
80	5.	10.	0.	123.21
81	4.5	10.	0.	125.
82	4.	10.	0.	126.17
83	3.5	10.	0.	126.53
84	3.	10.	0.	126.38
85	2.5	10.	0.	126.05
86	2.	10.	0.	125.72
87	1.5	10.	0.	125.46
88	1.	10.	0.	125.31
89	0.5	10.	0.	125.24
90	-5.2042e-015	10.	0.	125.26
91	-0.5	10.	0.	125.34
92	-1.	10.	0.	125.48
93	-1.5	10.	0.	125.67
94	-2.	10.	0.	125.94
95	-2.5	10.	0.	126.3
96	-3.	10.	0.	126.8
97	-3.5	10.	0.	127.47
98	-4.	10.	0.	128.4
99	-4.5	10.	0.	129.48
100	-5.	10.	0.	130.5
101	-5.5	10.	0.	128.96
102	-6.	10.	0.	123.16
103	-6.5	10.	0.	118.04
104	-7.	10.	0.	115.48
105	-7.5	10.	0.	117.58
106	-8.	10.	0.	122.01
107	-8.5	10.	0.	126.87
108	-9.	10.	0.	127.48
109	-9.5	10.	0.	125.72
110	10.	9.5	0.	124.75
111	10.	9.	0.	123.86
112	10.	8.5	0.	122.87
113	10.	8.	0.	122.18
114	10.	7.5	0.	122.11
115	10.	7.	0.	122.76
116	10.	6.5	0.	123.91
117	10.	6.	0.	125.14
118	10.	5.5	0.	126.15
119	10.	5.	0.	126.86
120	10.	4.5	0.	127.37
121	10.	4.	0.	127.86
122	10.	3.5	0.	128.53
123	10.	3.	0.	129.52
124	10.	2.5	0.	130.77
125	10.	2.	0.	131.73
126	10.	1.5	0.	131.16
127	10.	1.	0.	127.77
128	10.	0.5	0.	122.75
129	10.	-5.2042e-015	0.	119.37
130	10.	-0.5	0.	121.02
131	10.	-1.	0.	126.53
132	10.	-1.5	0.	130.99
133	10.	-2.	0.	131.76
134	10.	-2.5	0.	130.4
135	10.	-3.	0.	128.63
136	10.	-3.5	0.	127.21
137	10.	-4.	0.	126.24
138	10.	-4.5	0.	125.64
139	10.	-5.	0.	125.3
140	10.	-5.5	0.	125.13
141	10.	-6.	0.	125.06
142	10.	-6.5	0.	125.04
143	10.	-7.	0.	125.06
144	10.	-7.5	0.	125.09
145	10.	-8.	0.	125.12
146	10.	-8.5	0.	125.15
147	10.	-9.	0.	125.17
148	10.	-9.5	0.	125.18
149	-10.	9.5	0.	123.57
150	-10.	9.	0.	120.35
151	-10.	8.5	0.	118.37
152	-10.	8.	0.	118.6
153	-10.	7.5	0.	120.82
154	-10.	7.	0.	124.3
155	-10.	6.5	0.	127.63
156	-10.	6.	0.	129.64
157	-10.	5.5	0.	130.09
158	-10.	5.	0.	129.55
159	-10.	4.5	0.	128.62
160	-10.	4.	0.	127.65
161	-10.	3.5	0.	126.82
162	-10.	3.	0.	126.16
163	-10.	2.5	0.	125.67
164	-10.	2.	0.	125.34
165	-10.	1.5	0.	125.16
166	-10.	1.	0.	125.14
167	-10.	0.5	0.	125.29
168	-10.	-5.2042e-015	0.	125.65
169	-10.	-0.5	0.	126.27
170	-10.	-1.	0.	127.17
171	-10.	-1.5	0.	128.31
172	-10.	-2.	0.	129.45
173	-10.	-2.5	0.	129.97
174	-10.	-3.	0.	128.7
175	-10.	-3.5	0.	125.13
176	-10.	-4.	0.	121.3
177	-10.	-4.5	0.	120.99
178	-10.	-5.	0.	123.98
179	-10.	-5.5	0.	127.61
180	-10.	-6.	0.	129.56
181	-10.	-6.5	0.	129.83
182	-10.	-7.	0.	129.16
183	-10.	-7.5	0.	128.24
184	-10.	-8.	0.	127.41
185	-10.	-8.5	0.	126.77
186	-10.	-9.	0.	126.35
187	-10.	-9.5	0.	126.11
188	-9.5	-10.	0.	125.76
189	-9.	-10.	0.	125.26
190	-8.5	-10.	0.	124.71
