Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-2.04	7.88	0.	179.02
2	-0.87	7.75	0.	172.86
3	-1.34	8.84	0.	120.67
4	2.23	7.05	0.	192.95
5	1.14	7.51	0.	150.88
6	1.29	6.33	0.	152.02
7	7.09	7.23	0.	117.2
8	6.59	5.57	0.	163.08
9	8.27	5.96	0.	164.09
10	6.49	-0.39	0.	131.77
11	7.89	0.8	0.	164.87
12	6.15	1.42	0.	154.5
13	-3.88	-1.76	0.	171.8
14	-2.38	-1.24	0.	159.71
15	-3.58	-0.19	0.	132.44
16	4.73	-2.49	0.	142.59
17	6.36	-1.48	0.	146.81
18	4.67	-0.58	0.	147.34
19	-1.2	-7.38	0.	130.42
20	-1.43	-8.76	0.	148.24
21	-0.12	-8.27	0.	156.73
22	6.72	-5.86	0.	153.21
23	5.08	-6.58	0.	160.18
24	6.53	-7.64	0.	134.45
25	-2.96	-7.31	0.	158.92
26	-1.72	-8.11	0.	149.19
27	-1.64	-6.63	0.	146.09
28	-4.	6.	0.	135.67
29	-4.	5.	0.	136.07
30	-3.	6.	0.	136.43
31	-3.	5.	0.	134.49
32	-1.	6.	0.	134.15
33	-1.	4.	0.	134.12
34	1.	6.	0.	149.7
35	1.	4.	0.	133.36
36	-8.	7.	0.	136.5
37	-8.	5.	0.	135.32
38	-6.	7.	0.	137.15
39	-6.	5.	0.	136.77
40	5.	7.	0.	131.15
41	5.	5.	0.	134.01
42	6.	7.	0.	136.74
43	6.	5.	0.	139.27
44	-1.	2.	0.	131.16
45	-1.	0.	0.	131.07
46	0.	2.	0.	129.9
47	0.	0.	0.	133.78
48	-9.	0.	0.	138.78
49	-9.	-2.	0.	139.06
50	-7.	0.	0.	137.83
51	-7.	-2.	0.	139.9
52	-5.	0.	0.	138.55
53	-5.	-2.	0.	136.22
54	-4.	0.	0.	144.88
55	-4.	-2.	0.	162.49
56	1.	1.	0.	133.89
57	1.	-1.	0.	130.18
58	2.	1.	0.	133.47
59	2.	-1.	0.	131.98
60	2.	-6.	0.	136.13
61	2.	-8.	0.	135.42
62	3.	-6.	0.	134.04
63	3.	-8.	0.	133.71
64	0.	-6.	0.	134.37
65	0.	-8.	0.	144.11
66	1.	-6.	0.	137.3
67	1.	-8.	0.	132.84
68	-2.	-5.	0.	129.28
69	-2.	-6.	0.	119.47
70	-1.	-5.	0.	135.11
71	-1.	-6.	0.	136.89
72	-7.	-7.	0.	135.19
73	-7.	-9.	0.	133.53
74	-5.	-7.	0.	134.34
75	-5.	-9.	0.	136.09
76	10.	10.	0.	124.98
77	-10.	10.	0.	124.97
78	10.	-10.	0.	131.23
79	-10.	-10.	0.	132.23
80	6.	5.5052	0.	146.36
81	-4.	-1.6235	0.	160.42
82	-1.68	-7.3699	0.	149.31
83	-1.3151	-8.0708	0.	146.96
84	-1.65	7.8367	0.	103.87
85	-1.26	7.7933	0.	102.85
86	-1.8067	8.2	0.	109.9
87	-1.5733	8.52	0.	93.663
88	-1.0267	8.1133	0.	133.12
89	-1.1833	8.4767	0.	114.86
90	1.8667	7.2033	0.	61.689
91	1.5033	7.3567	0.	97.34
92	1.9167	6.81	0.	70.096
93	1.6033	6.57	0.	92.21
94	1.19	7.1167	0.	147.85
95	1.24	6.7233	0.	144.01
96	6.965	6.815	0.	132.06
97	6.84	6.4	0.	138.37
98	6.715	5.985	0.	140.01
99	7.385	6.9125	0.	100.83
100	7.68	6.595	0.	113.56
101	7.975	6.2775	0.	99.72
102	7.01	5.6675	0.	109.26
103	7.43	5.765	0.	117.21
104	7.85	5.8625	0.	113.21
105	6.84	-9.25e-002	0.	92.915
106	7.19	0.205	0.	105.71
107	7.54	0.5025	0.	85.315
