Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-8.	-7.	0.	134.34
2	-8.	-8.	0.	132.52
3	-7.	-7.	0.	131.28
4	-7.	-8.	0.	128.66
5	7.	-4.	0.	129.83
6	7.	-5.	0.	131.11
7	8.	-4.	0.	133.38
8	8.	-5.	0.	133.26
9	0.	-2.	0.	134.35
10	0.	-3.	0.	134.25
11	1.	-2.	0.	134.44
12	1.	-3.	0.	133.94
13	-9.	-1.	0.	137.
14	-9.	-3.	0.	137.45
15	-7.	-1.	0.	134.97
16	-7.	-3.	0.	134.14
17	1.	9.	0.	139.23
18	1.	8.	0.	136.38
19	3.	9.	0.	136.27
20	3.	8.	0.	133.25
21	8.	0.	0.	133.61
22	8.	-1.	0.	134.55
23	9.	0.	0.	135.06
24	9.	-1.	0.	134.86
25	-7.	-5.	0.	130.91
26	-7.	-6.	0.	130.06
27	-5.	-5.	0.	138.17
28	-5.	-6.	0.	137.54
29	-3.	8.	0.	137.35
30	-3.	6.	0.	134.15
31	-1.	8.	0.	136.55
32	-1.	6.	0.	139.88
33	1.	4.	0.	139.56
34	1.	2.	0.	135.8
35	3.	4.	0.	134.73
36	3.	2.	0.	137.03
37	3.	-3.	0.	130.83
38	3.	-5.	0.	131.84
39	4.	-3.	0.	128.6
40	4.	-5.	0.	133.08
41	-3.	4.	0.	129.34
42	-3.	2.	0.	132.37
43	-2.	4.	0.	128.24
44	-2.	2.	0.	132.43
45	5.	-7.	0.	134.67
46	5.	-9.	0.	129.55
47	7.	-7.	0.	132.99
48	7.	-9.	0.	130.48
49	4.	3.	0.	134.02
50	4.	1.	0.	134.19
51	5.	3.	0.	132.84
52	5.	1.	0.	134.18
53	3.	6.	0.	128.94
54	3.	5.	0.	132.2
55	4.	6.	0.	134.81
56	4.	5.	0.	134.98
57	8.	4.	0.	134.31
58	8.	3.	0.	133.45
59	9.	4.	0.	133.5
60	9.	3.	0.	133.14
61	10.	10.	0.	125.
62	-10.	10.	0.	125.
63	10.	-10.	0.	131.5
64	-10.	-10.	0.	129.68
65	-8.	-7.5	0.	142.54
66	-7.5	-7.	0.	112.18
67	-7.5	-8.	0.	109.08
68	-7.	-7.5	0.	138.15
69	7.	-4.5	0.	138.8
70	7.5	-4.	0.	109.35
71	7.5	-5.	0.	110.23
72	8.	-4.5	0.	142.78
73	0.	-2.5	0.	143.6
74	0.5	-2.	0.	112.03
75	0.5	-3.	0.	111.39
76	1.	-2.5	0.	143.81
77	-9.	-1.5	0.	148.06
