Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	8.27	7.06	0.	132.55
2	8.26	8.26	0.	142.4
3	7.22	7.65	0.	164.44
4	8.47	-1.4	0.	166.9
5	6.97	-0.44	0.	131.59
6	6.88	-2.22	0.	138.45
7	4.9	-1.1	0.	106.63
8	5.4	-9.e-002	0.	174.23
9	4.27	-0.17	0.	174.25
10	-0.44	6.61	0.	154.42
11	0.83	5.74	0.	137.22
12	0.95	7.27	0.	150.77
13	-0.79	-3.78	0.	159.75
14	-2.35	-4.12	0.	177.88
15	-1.28	-5.3	0.	115.66
16	5.e-002	3.06	0.	135.9
17	-1.63	2.12	0.	150.73
18	3.e-002	1.13	0.	126.91
19	-7.84	-6.63	0.	156.83
20	-8.84	-7.07	0.	157.78
21	-7.96	-7.71	0.	135.04
22	-5.93	-7.49	0.	111.56
23	-6.67	-8.55	0.	173.01
24	-5.38	-8.66	0.	172.17
25	-6.9	3.88	0.	122.46
26	-5.78	4.89	0.	157.62
27	-7.22	5.35	0.	156.73
28	7.	6.	0.	137.96
29	7.	5.	0.	136.08
30	9.	6.	0.	139.91
31	9.	5.	0.	137.93
32	4.	8.	0.	136.9
33	4.	7.	0.	135.49
34	6.	8.	0.	137.85
35	6.	7.	0.	143.29
36	6.	-4.	0.	136.44
37	6.	-6.	0.	136.39
38	8.	-4.	0.	132.85
39	8.	-6.	0.	135.59
40	-3.	-7.	0.	132.86
41	-3.	-9.	0.	132.66
42	-2.	-7.	0.	130.93
43	-2.	-9.	0.	131.76
44	0.	-7.	0.	135.69
45	0.	-9.	0.	132.31
46	2.	-7.	0.	135.54
47	2.	-9.	0.	133.23
48	-1.	0.	0.	127.11
49	-1.	-2.	0.	128.13
50	1.	0.	0.	135.81
51	1.	-2.	0.	137.19
52	-9.	-2.	0.	138.17
53	-9.	-4.	0.	137.04
54	-7.	-2.	0.	135.16
55	-7.	-4.	0.	134.91
56	-8.	9.	0.	137.92
57	-8.	8.	0.	135.86
58	-6.	9.	0.	137.27
59	-6.	8.	0.	133.7
60	-7.	2.	0.	130.52
61	-7.	1.	0.	132.51
62	-5.	2.	0.	136.6
63	-5.	1.	0.	137.95
64	10.	10.	0.	125.02
65	-10.	10.	0.	125.12
66	10.	-10.	0.	127.24
67	-10.	-10.	0.	129.54
68	8.2667	7.46	0.	141.92
69	8.2633	7.86	0.	143.44
70	7.92	7.2567	0.	88.739
71	7.57	7.4533	0.	73.478
72	7.9133	8.0567	0.	93.154
73	7.5667	7.8533	0.	72.442
74	8.0945	-1.1597	0.	93.449
75	7.7196	-0.91973	0.	108.29
76	7.3448	-0.67987	0.	96.945
77	8.0725	-1.605	0.	91.17
78	7.675	-1.81	0.	107.32
79	7.2775	-2.015	0.	100.07
80	6.9475	-0.885	0.	137.4
81	6.925	-1.33	0.	141.02
82	6.9025	-1.775	0.	140.68
