Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-3.27	5.	0.	155.29
2	-2.2	5.41	0.	178.88
3	-3.09	6.14	0.	136.78
4	5.18	-0.84	0.	165.23
5	6.62	-0.53	0.	172.02
6	5.63	0.56	0.	115.68
7	-0.68	-6.3	0.	146.56
8	-2.08	-6.51	0.	166.65
9	-1.19	-7.62	0.	109.05
10	2.	5.	0.	133.5
11	2.	4.	0.	132.88
12	3.	5.	0.	132.02
13	3.	4.	0.	130.84
14	6.	6.	0.	132.64
15	6.	4.	0.	132.89
16	7.	6.	0.	132.78
17	7.	4.	0.	130.97
18	3.	9.	0.	135.75
19	3.	7.	0.	130.58
20	4.	9.	0.	134.97
21	4.	7.	0.	132.75
22	-2.	8.	0.	135.38
23	-2.	6.	0.	153.07
24	0.	8.	0.	137.13
25	0.	6.	0.	136.93
26	-4.	2.	0.	133.39
27	-4.	1.	0.	133.23
28	-3.	2.	0.	132.1
29	-3.	1.	0.	132.71
30	2.	2.	0.	131.27
31	2.	0.	0.	136.34
32	3.	2.	0.	134.67
33	3.	0.	0.	133.7
34	-9.	2.	0.	138.27
35	-9.	1.	0.	138.19
36	-7.	2.	0.	136.99
37	-7.	1.	0.	137.53
38	-1.	0.	0.	133.59
39	-1.	-2.	0.	133.35
40	1.	0.	0.	138.71
41	1.	-2.	0.	135.15
42	5.	-5.	0.	135.95
43	5.	-6.	0.	136.47
44	7.	-5.	0.	131.75
45	7.	-6.	0.	132.03
46	-5.	-5.	0.	136.22
47	-5.	-7.	0.	134.52
48	-3.	-5.	0.	139.83
49	-3.	-7.	0.	135.89
50	7.	-7.	0.	132.27
51	7.	-9.	0.	127.23
52	8.	-7.	0.	135.55
53	8.	-9.	0.	130.34
54	-2.	-5.	0.	135.37
55	-2.	-6.	0.	131.22
56	0.	-5.	0.	135.37
57	0.	-6.	0.	139.8
58	10.	10.	0.	125.
59	-10.	10.	0.	125.
60	10.	-10.	0.	136.92
61	-10.	-10.	0.	129.82
62	-0.76917	-6.	0.	119.9
63	-2.4948	5.6518	0.	78.461
64	-2.735	5.205	0.	94.314
65	-3.21	5.38	0.	149.53
66	-3.15	5.76	0.	140.54
67	-2.7924	5.8959	0.	91.827
68	5.66	-0.73667	0.	107.72
69	6.14	-0.63333	0.	99.549
70	5.3297	-0.37426	0.	137.83
71	5.4799	9.287e-002	0.	127.13
72	6.29	-0.16667	0.	89.458
73	5.96	0.19667	0.	87.319
74	-1.031	-6.3527	0.	135.52
75	-1.381	-6.4052	0.	92.796
76	-0.85	-6.74	0.	117.63
77	-1.02	-7.18	0.	110.27
78	-1.7833	-6.88	0.	99.339
79	-1.4867	-7.25	0.	93.053
80	2.	4.5	0.	143.11
81	2.5	5.	0.	110.07
82	2.5	4.	0.	109.46
83	3.	4.5	0.	140.46
84	6.	5.5	0.	141.86
85	6.	5.	0.	141.83
86	6.	4.5	0.	141.17
87	6.5	6.	0.	107.92
88	6.5	4.	0.	107.3
89	7.	5.5	0.	141.27
90	7.	5.	0.	141.57
91	7.	4.5	0.	141.04
92	3.	8.5	0.	142.04
93	3.	8.	0.	141.01
94	3.	7.5	0.	139.41
95	3.5	9.	0.	111.03
96	3.5	7.	0.	107.15
97	4.	8.5	0.	142.87
98	4.	8.	0.	142.85
99	4.	7.5	0.	142.45
100	-2.	7.5	0.	143.34
101	-2.	7.	0.	146.09
102	-2.	6.5	0.	147.97
103	-1.5	8.	0.	115.8
104	-1.	8.	0.	120.68
105	-0.5	8.	0.	115.78
106	-1.5	6.	0.	116.46
107	-1.	6.	0.	118.83
108	-0.5	6.	0.	114.55
109	0.	7.5	0.	145.65
110	0.	7.	0.	147.28
111	0.	6.5	0.	146.33
112	-4.	1.5	0.	142.35
113	-3.5	2.	0.	110.54
114	-3.5	1.	0.	110.29
115	-3.	1.5	0.	142.03
116	2.	1.5	0.	143.26
117	2.	1.	0.	146.
118	2.	0.5	0.	146.87
119	2.5	2.	0.	108.93
120	2.5	0.	0.	108.66
121	3.	1.5	0.	144.55
122	3.	1.	0.	144.76
123	3.	0.5	0.	143.23
124	-9.	1.5	0.	148.33
125	-8.5	2.	0.	119.5
126	-8.	2.	0.	124.39
127	-7.5	2.	0.	119.11
128	-8.5	1.	0.	119.94
129	-8.	1.	0.	124.52
130	-7.5	1.	0.	118.81
131	-7.	1.5	0.	145.66
132	-1.	-0.5	0.	142.53
133	-1.	-1.	0.	143.42
134	-1.	-1.5	0.	141.88
135	-0.5	0.	0.	112.75
136	0.	0.	0.	117.63
137	0.5	0.	0.	113.98
138	-0.5	-2.	0.	112.2
139	0.	-2.	0.	117.81
140	0.5	-2.	0.	114.85
141	1.	-0.5	0.	147.91
142	1.	-1.	0.	148.
143	1.	-1.5	0.	145.33
144	5.	-5.5	0.	144.64
145	5.5	-5.	0.	117.18
146	6.	-5.	0.	121.67
147	6.5	-5.	0.	115.91
148	5.5	-6.	0.	118.89
149	6.	-6.	0.	124.48
