Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	6.25	-7.62	0.	148.59
2	6.14	-6.06	0.	141.06
3	4.84	-6.93	0.	158.68
4	7.37	-3.24	0.	165.85
5	7.86	-4.53	0.	116.57
6	8.73	-3.46	0.	180.17
7	5.87	5.58	0.	137.08
8	4.21	4.57	0.	157.93
9	5.92	3.64	0.	143.8
10	0.5	-1.76	0.	120.69
11	5.e-002	-3.41	0.	165.68
12	1.7	-2.97	0.	176.49
13	0.3	6.26	0.	158.81
14	-1.11	7.21	0.	133.77
15	-1.23	5.52	0.	134.41
16	1.7	-7.66	0.	170.95
17	0.25	-7.31	0.	161.94
18	0.67	-8.74	0.	117.23
19	-6.68	4.2	0.	165.37
20	-7.85	5.5	0.	114.47
21	-8.39	3.84	0.	155.82
22	-7.28	-4.84	0.	125.04
23	-8.1	-5.49	0.	143.07
24	-7.13	-5.88	0.	150.26
25	-8.23	0.82	0.	167.15
26	-6.67	0.43	0.	162.51
27	-7.12	1.98	0.	113.24
28	4.	8.	0.	138.36
29	4.	7.	0.	135.29
30	6.	8.	0.	134.48
31	6.	7.	0.	132.06
32	5.	1.	0.	135.92
33	5.	0.	0.	136.81
34	7.	1.	0.	133.89
35	7.	0.	0.	130.09
36	7.	4.	0.	135.75
37	7.	2.	0.	137.39
38	9.	4.	0.	139.02
39	9.	2.	0.	140.
40	-2.	1.	0.	132.07
41	-2.	0.	0.	129.47
42	-1.	1.	0.	128.83
43	-1.	0.	0.	128.22
44	-1.	4.	0.	125.21
45	-1.	3.	0.	128.21
46	0.	4.	0.	128.9
47	0.	3.	0.	130.87
48	-2.	-1.	0.	129.58
49	-2.	-3.	0.	132.68
50	-1.	-1.	0.	130.37
51	-1.	-3.	0.	132.4
52	-9.	-7.	0.	138.55
53	-9.	-9.	0.	134.58
54	-7.	-7.	0.	130.85
55	-7.	-9.	0.	133.55
56	-6.	-8.	0.	137.33
57	-6.	-9.	0.	137.79
58	-5.	-8.	0.	136.6
59	-5.	-9.	0.	135.67
60	-8.	-2.	0.	127.07
61	-8.	-3.	0.	126.54
62	-7.	-2.	0.	126.53
63	-7.	-3.	0.	127.1
64	10.	10.	0.	125.01
65	-10.	10.	0.	124.99
66	10.	-10.	0.	127.16
67	-10.	-10.	0.	145.48
68	6.2133	-7.1	0.	144.28
69	6.1767	-6.58	0.	144.02
70	5.78	-7.39	0.	98.56
71	5.31	-7.16	0.	84.509
72	5.7067	-6.35	0.	92.041
73	5.2733	-6.64	0.	78.125
74	7.5333	-3.67	0.	132.64
75	7.6967	-4.1	0.	123.46
76	7.8233	-3.3133	0.	111.31
77	8.2767	-3.3867	0.	107.07
78	8.15	-4.1733	0.	91.153
79	8.44	-3.8167	0.	97.214
80	5.455	5.3275	0.	94.859
81	5.04	5.075	0.	105.37
82	4.625	4.8225	0.	86.558
83	5.8825	5.095	0.	145.07
84	5.895	4.61	0.	147.06
85	5.9075	4.125	0.	146.
86	4.6375	4.3375	0.	89.24
87	5.065	4.105	0.	107.81
88	5.4925	3.8725	0.	99.134
89	0.3875	-2.1725	0.	131.43
90	0.275	-2.585	0.	139.12
91	0.1625	-2.9975	0.	142.72
92	0.8	-2.0625	0.	94.821
93	1.1	-2.365	0.	105.62
94	1.4	-2.6675	0.	93.824
95	0.4625	-3.3	0.	107.96
96	0.875	-3.19	0.	115.01
97	1.2875	-3.08	0.	94.076
98	-5.2514e-002	6.4975	0.	81.688
99	-0.40503	6.735	0.	102.23
100	-0.75752	6.9725	0.	96.312
101	-8.25e-002	6.075	0.	87.945
102	-0.465	5.89	0.	105.1
103	-0.8475	5.705	0.	104.31
104	-1.14	6.7875	0.	140.01
105	-1.17	6.365	0.	142.09
106	-1.2	5.9425	0.	142.28
107	1.2167	-7.5433	0.	94.646
108	0.73333	-7.4267	0.	105.38
109	1.3567	-8.02	0.	84.936
110	1.0133	-8.38	0.	85.253
111	0.39	-7.7867	0.	135.27
112	0.53	-8.2633	0.	123.18
113	-6.9725	4.525	0.	100.45
114	-7.265	4.85	0.	108.07
115	-7.5575	5.175	0.	93.974
116	-7.1075	4.11	0.	98.335
117	-7.535	4.02	0.	112.16
118	-7.9625	3.93	0.	105.34
119	-7.985	5.085	0.	126.29
120	-8.12	4.67	0.	133.83
121	-8.255	4.255	0.	132.16
122	-7.69	-5.165	0.	61.468
123	-7.205	-5.36	0.	137.84
124	-7.615	-5.685	0.	79.203
125	-7.71	0.69	0.	100.42
126	-7.19	0.56	0.	105.78
127	-7.86	1.2067	0.	76.836
128	-7.49	1.5933	0.	84.089
129	-6.82	0.94667	0.	134.88
130	-6.97	1.4633	0.	128.71
131	4.	7.5	0.	145.2
132	4.5	8.	0.	117.57
133	5.	8.	0.	122.42
134	5.5	8.	0.	116.86
