Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-3.	4.	0.	127.22
2	-3.	2.	0.	124.77
3	-2.	4.	0.	128.49
4	-2.	2.	0.	125.27
5	-1.	-6.	0.	134.34
6	-1.	-8.	0.	132.52
7	0.	-6.	0.	136.02
8	0.	-8.	0.	133.41
9	-6.	-7.	0.	130.45
10	-6.	-9.	0.	129.35
11	-5.	-7.	0.	129.85
12	-5.	-9.	0.	128.4
13	3.	-2.	0.	138.68
14	3.	-4.	0.	138.9
15	5.	-2.	0.	140.89
16	5.	-4.	0.	140.5
17	7.	1.	0.	134.6
18	7.	-1.	0.	136.55
19	9.	1.	0.	137.88
20	9.	-1.	0.	138.64
21	-8.	8.	0.	137.06
22	-8.	7.	0.	136.02
23	-6.	8.	0.	135.19
24	-6.	7.	0.	136.31
25	-2.	-4.	0.	134.88
26	-2.	-5.	0.	134.56
27	-1.	-4.	0.	133.24
28	-1.	-5.	0.	135.35
29	7.	5.	0.	131.84
30	7.	4.	0.	130.58
31	8.	5.	0.	131.87
32	8.	4.	0.	130.36
33	-3.	1.	0.	122.77
34	-3.	0.	0.	129.45
35	-2.	1.	0.	127.79
36	-2.	0.	0.	132.24
37	8.	-7.	0.	134.75
38	8.	-8.	0.	132.96
39	9.	-7.	0.	135.44
40	9.	-8.	0.	135.13
41	-4.	-6.	0.	133.81
42	-4.	-7.	0.	135.35
43	-2.	-6.	0.	134.41
44	-2.	-7.	0.	135.87
45	-5.	-1.	0.	138.01
46	-5.	-3.	0.	137.19
47	-3.	-1.	0.	129.17
48	-3.	-3.	0.	132.91
49	-8.	-1.	0.	137.93
50	-8.	-2.	0.	137.65
51	-6.	-1.	0.	140.8
52	-6.	-2.	0.	140.12
53	-3.	9.	0.	139.07
54	-3.	7.	0.	133.75
55	-1.	9.	0.	139.48
56	-1.	7.	0.	134.52
57	6.	-3.	0.	136.68
58	6.	-5.	0.	137.11
59	7.	-3.	0.	131.77
60	7.	-5.	0.	133.54
61	10.	10.	0.	125.
62	-10.	10.	0.	125.03
63	10.	-10.	0.	129.17
64	-10.	-10.	0.	129.78
65	-3.	3.5	0.	136.24
66	-3.	3.	0.	136.02
67	-3.	2.5	0.	134.9
68	-2.5	4.	0.	103.62
69	-2.5	2.	0.	99.497
70	-2.	3.5	0.	136.63
71	-2.	3.	0.	136.93
72	-2.	2.5	0.	136.33
73	-1.	-6.5	0.	137.46
74	-1.	-7.	0.	140.8
75	-1.	-7.5	0.	142.62
76	-0.5	-6.	0.	111.28
77	-0.5	-8.	0.	108.56
78	0.	-6.5	0.	144.17
79	0.	-7.	0.	143.64
80	0.	-7.5	0.	142.84
81	-6.	-7.5	0.	139.43
82	-6.	-8.	0.	139.95
83	-6.	-8.5	0.	139.29
84	-5.5	-7.	0.	104.73
85	-5.5	-9.	0.	104.98
86	-5.	-7.5	0.	141.58
87	-5.	-8.	0.	141.44
88	-5.	-8.5	0.	139.29
89	3.	-2.5	0.	147.73
90	3.	-3.	0.	148.96
91	3.	-3.5	0.	147.76
92	3.5	-2.	0.	116.95
93	4.	-2.	0.	122.02
94	4.5	-2.	0.	118.42
95	3.5	-4.	0.	116.25
96	4.	-4.	0.	120.83
97	4.5	-4.	0.	116.87
98	5.	-2.5	0.	152.41
99	5.	-3.	0.	152.77
100	5.	-3.5	0.	149.99
101	7.	0.5	0.	144.46
102	7.	0.	0.	146.28
103	7.	-0.5	0.	145.39
104	7.5	1.	0.	113.57
105	8.	1.	0.	118.61
106	8.5	1.	0.	115.42
107	7.5	-1.	0.	115.03
108	8.	-1.	0.	120.45
109	8.5	-1.	0.	116.76
110	9.	0.5	0.	149.29
111	9.	0.	0.	151.22
112	9.	-0.5	0.	149.49
113	-8.	7.5	0.	145.4
114	-7.5	8.	0.	118.65
115	-7.	8.	0.	123.71
116	-6.5	8.	0.	117.82
117	-7.5	7.	0.	118.48
118	-7.	7.	0.	123.37
119	-6.5	7.	0.	117.76
120	-6.	7.5	0.	143.62
121	-2.	-4.5	0.	142.87
122	-1.5	-4.	0.	112.3
123	-1.5	-5.	0.	116.78
124	-1.	-4.5	0.	142.07
125	7.	4.5	0.	140.52
126	7.5	5.	0.	109.47
127	7.5	4.	0.	108.27
128	8.	4.5	0.	140.64
129	-3.	0.5	0.	134.6
130	-2.5	1.	0.	102.08
131	-2.5	0.	0.	109.74
132	-2.	0.5	0.	139.61
133	8.	-7.5	0.	142.86
134	8.5	-7.	0.	112.76
135	8.5	-8.	0.	111.74
136	9.	-7.5	0.	145.67
137	-4.	-6.5	0.	144.47
138	-3.5	-6.	0.	116.91
139	-3.	-6.	0.	123.76
140	-2.5	-6.	0.	119.06
141	-3.5	-7.	0.	116.3
142	-3.	-7.	0.	121.19
143	-2.5	-7.	0.	115.92
144	-2.	-6.5	0.	142.44
145	-5.	-1.5	0.	143.2
146	-5.	-2.	0.	146.83
147	-5.	-2.5	0.	147.6
148	-4.5	-1.	0.	114.34
149	-4.	-1.	0.	118.38
150	-3.5	-1.	0.	112.33
151	-4.5	-3.	0.	113.92
152	-4.	-3.	0.	117.02
153	-3.5	-3.	0.	111.97
