Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-7.	6.	0.	132.8
2	-7.	5.	0.	135.23
3	-6.	6.	0.	134.66
4	-6.	5.	0.	133.82
5	-7.	-7.	0.	123.71
6	-7.	-8.	0.	127.03
7	-6.	-7.	0.	127.96
8	-6.	-8.	0.	129.9
9	4.	3.	0.	135.73
10	4.	1.	0.	137.51
11	6.	3.	0.	136.58
12	6.	1.	0.	134.7
13	5.	9.	0.	135.59
14	5.	8.	0.	133.7
15	6.	9.	0.	136.49
16	6.	8.	0.	137.29
17	-7.	-1.	0.	133.81
18	-7.	-3.	0.	130.59
19	-5.	-1.	0.	135.48
20	-5.	-3.	0.	135.79
21	-4.	8.	0.	135.57
22	-4.	7.	0.	136.05
23	-3.	8.	0.	135.04
24	-3.	7.	0.	136.37
25	1.	0.	0.	133.86
26	1.	-1.	0.	133.
27	2.	0.	0.	135.56
28	2.	-1.	0.	135.57
29	-9.	4.	0.	135.52
30	-9.	3.	0.	134.79
31	-8.	4.	0.	135.26
32	-8.	3.	0.	133.34
33	8.	6.	0.	132.5
34	8.	4.	0.	134.33
35	9.	6.	0.	133.98
36	9.	4.	0.	134.33
37	5.	-4.	0.	134.33
38	5.	-5.	0.	134.38
39	7.	-4.	0.	134.61
40	7.	-5.	0.	135.05
41	-1.	5.	0.	136.43
42	-1.	3.	0.	136.19
43	1.	5.	0.	136.41
44	1.	3.	0.	135.2
45	-8.	-5.	0.	137.1
46	-8.	-6.	0.	138.17
47	-6.	-5.	0.	128.18
48	-6.	-6.	0.	127.53
49	7.	9.	0.	136.87
50	7.	8.	0.	136.45
51	8.	9.	0.	134.75
52	8.	8.	0.	132.4
53	-1.	-7.	0.	131.27
54	-1.	-9.	0.	129.37
55	0.	-7.	0.	131.13
56	0.	-9.	0.	128.98
57	10.	10.	0.	125.09
58	-10.	10.	0.	125.
59	10.	-10.	0.	126.25
60	-10.	-10.	0.	130.39
61	-7.	5.5	0.	143.19
62	-6.5	6.	0.	111.46
63	-6.5	5.	0.	111.92
64	-6.	5.5	0.	143.72
65	-7.	-7.5	0.	134.52
66	-6.5	-7.	0.	103.71
67	-6.5	-8.	0.	105.84
68	-6.	-7.5	0.	138.4
69	4.	2.5	0.	145.53
70	4.	2.	0.	147.41
71	4.	1.5	0.	146.7
72	4.5	3.	0.	113.95
73	5.	3.	0.	118.27
74	5.5	3.	0.	114.07
75	4.5	1.	0.	114.88
76	5.	1.	0.	118.57
77	5.5	1.	0.	113.83
78	6.	2.5	0.	145.16
79	6.	2.	0.	145.85
80	6.	1.5	0.	144.18
81	5.	8.5	0.	143.89
82	5.5	9.	0.	113.69
83	5.5	8.	0.	112.65
84	6.	8.5	0.	143.64
85	-7.	-1.5	0.	141.94
86	-7.	-2.	0.	142.51
87	-7.	-2.5	0.	140.53
88	-6.5	-1.	0.	112.36
89	-6.	-1.	0.	117.01
90	-5.5	-1.	0.	113.12
91	-6.5	-3.	0.	110.1
92	-6.	-3.	0.	116.07
93	-5.5	-3.	0.	113.77
94	-5.	-1.5	0.	144.04
95	-5.	-2.	0.	145.3
96	-5.	-2.5	0.	144.4
97	-4.	7.5	0.	145.33
98	-3.5	8.	0.	113.17
99	-3.5	7.	0.	113.57
100	-3.	7.5	0.	145.07
101	1.	-0.5	0.	142.26
102	1.5	0.	0.	112.22
103	1.5	-1.	0.	112.06
104	2.	-0.5	0.	145.61
105	-9.	3.5	0.	145.53
