Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-5.	-1.	0.	139.08
2	-5.	-2.	0.	138.57
3	-3.	-1.	0.	130.75
4	-3.	-2.	0.	133.51
5	-7.	-2.	0.	134.98
6	-7.	-3.	0.	138.13
7	-6.	-2.	0.	137.61
8	-6.	-3.	0.	138.74
9	-9.	1.	0.	136.1
10	-9.	0.	0.	135.77
11	-8.	1.	0.	136.9
12	-8.	0.	0.	135.32
13	1.	2.	0.	136.77
14	1.	1.	0.	137.09
15	3.	2.	0.	133.17
16	3.	1.	0.	133.38
17	-1.	8.	0.	136.26
18	-1.	7.	0.	136.36
19	1.	8.	0.	136.69
20	1.	7.	0.	136.39
21	3.	4.	0.	132.12
22	3.	3.	0.	133.86
23	4.	4.	0.	135.31
24	4.	3.	0.	136.94
25	-9.	-4.	0.	134.52
26	-9.	-6.	0.	133.63
27	-8.	-4.	0.	136.15
28	-8.	-6.	0.	132.03
29	-7.	3.	0.	133.68
30	-7.	2.	0.	136.26
31	-6.	3.	0.	135.54
32	-6.	2.	0.	134.99
33	0.	-6.	0.	132.73
34	0.	-7.	0.	132.2
35	1.	-6.	0.	132.53
36	1.	-7.	0.	132.49
37	7.	-1.	0.	131.89
38	7.	-3.	0.	131.8
39	8.	-1.	0.	131.7
40	8.	-3.	0.	131.44
41	-4.	3.	0.	134.74
42	-4.	1.	0.	132.99
43	-2.	3.	0.	136.57
44	-2.	1.	0.	136.04
45	10.	10.	0.	125.
46	-10.	10.	0.	125.
47	10.	-10.	0.	124.71
48	-10.	-10.	0.	124.72
49	-5.	-1.5	0.	149.17
50	-4.5	-1.	0.	119.7
51	-4.	-1.	0.	121.93
52	-3.5	-1.	0.	114.26
53	-4.5	-2.	0.	117.75
54	-4.	-2.	0.	121.79
55	-3.5	-2.	0.	115.72
56	-3.	-1.5	0.	140.73
57	-7.	-2.5	0.	145.4
58	-6.5	-2.	0.	113.4
59	-6.5	-3.	0.	115.72
60	-6.	-2.5	0.	149.48
61	-9.	0.5	0.	146.27
62	-8.5	1.	0.	113.83
63	-8.5	0.	0.	113.35
64	-8.	0.5	0.	145.22
65	1.	1.5	0.	145.17
66	1.5	2.	0.	118.76
67	2.	2.	0.	124.89
68	2.5	2.	0.	118.85
69	1.5	1.	0.	117.95
70	2.	1.	0.	122.81
71	2.5	1.	0.	117.
72	3.	1.5	0.	141.1
73	-1.	7.5	0.	144.59
74	-0.5	8.	0.	118.67
75	0.	8.	0.	124.19
76	0.5	8.	0.	118.7
77	-0.5	7.	0.	118.69
78	0.	7.	0.	124.17
79	0.5	7.	0.	118.92
80	1.	7.5	0.	144.88
81	3.	3.5	0.	141.17
82	3.5	4.	0.	112.05
83	3.5	3.	0.	114.71
84	4.	3.5	0.	145.
85	-9.	-4.5	0.	144.65
86	-9.	-5.	0.	145.21
87	-9.	-5.5	0.	144.13
88	-8.5	-4.	0.	110.17
89	-8.5	-6.	0.	108.3
90	-8.	-4.5	0.	143.61
91	-8.	-5.	0.	142.94
92	-8.	-5.5	0.	141.72
93	-7.	2.5	0.	144.3
94	-6.5	3.	0.	112.16
95	-6.5	2.	0.	112.59
96	-6.	2.5	0.	143.91
97	0.	-6.5	0.	141.65
98	0.5	-6.	0.	110.41
99	0.5	-7.	0.	110.2
100	1.	-6.5	0.	141.74
101	7.	-1.5	0.	140.82
102	7.	-2.	0.	141.18
103	7.	-2.5	0.	140.69
104	7.5	-1.	0.	107.4
105	7.5	-3.	0.	107.28
106	8.	-1.5	0.	140.85
107	8.	-2.	0.	141.33
108	8.	-2.5	0.	140.8
109	-4.	2.5	0.	142.47
110	-4.	2.	0.	143.33
111	-4.	1.5	0.	142.09
112	-3.5	3.	0.	113.32
113	-3.	3.	0.	117.79
114	-2.5	3.	0.	113.56
115	-3.5	1.	0.	111.31
116	-3.	1.	0.	117.07
117	-2.5	1.	0.	114.32
118	-2.	2.5	0.	144.31
119	-2.	2.	0.	145.26
120	-2.	1.5	0.	144.3
121	9.5	10.	0.	125.
122	9.	10.	0.	125.01
123	8.5	10.	0.	125.05
124	8.	10.	0.	125.09
125	7.5	10.	0.	125.13
126	7.	10.	0.	125.17
127	6.5	10.	0.	125.21
128	6.	10.	0.	125.25
129	5.5	10.	0.	125.3
130	5.	10.	0.	125.38
131	4.5	10.	0.	125.51
132	4.	10.	0.	125.71
133	3.5	10.	0.	125.97
134	3.	10.	0.	126.24
135	2.5	10.	0.	126.34
136	2.	10.	0.	125.94
137	1.5	10.	0.	124.76
138	1.	10.	0.	122.98
139	0.5	10.	0.	121.37
140	-5.2042e-015	10.	0.	120.69
141	-0.5	10.	0.	121.27
142	-1.	10.	0.	122.77
143	-1.5	10.	0.	124.46
144	-2.	10.	0.	125.57
145	-2.5	10.	0.	125.91
146	-3.	10.	0.	125.76
147	-3.5	10.	0.	125.46
148	-4.	10.	0.	125.16
149	-4.5	10.	0.	124.94
150	-5.	10.	0.	124.8
151	-5.5	10.	0.	124.73
152	-6.	10.	0.	124.71
153	-6.5	10.	0.	124.73
154	-7.	10.	0.	124.78
155	-7.5	10.	0.	124.84
156	-8.	10.	0.	124.9
157	-8.5	10.	0.	124.95
158	-9.	10.	0.	124.99
159	-9.5	10.	0.	125.
160	10.	9.5	0.	125.
161	10.	9.	0.	124.97
162	10.	8.5	0.	124.91
163	10.	8.	0.	124.81
164	10.	7.5	0.	124.7
165	10.	7.	0.	124.56
166	10.	6.5	0.	124.4
167	10.	6.	0.	124.22
168	10.	5.5	0.	124.03
169	10.	5.	0.	123.85
170	10.	4.5	0.	123.7
171	10.	4.	0.	123.62
172	10.	3.5	0.	123.63
173	10.	3.	0.	123.79
174	10.	2.5	0.	124.12
175	10.	2.	0.	124.67
176	10.	1.5	0.	125.46
177	10.	1.	0.	126.43
178	10.	0.5	0.	127.37
179	10.	-5.2042e-015	0.	127.86
180	10.	-0.5	0.	127.44
181	10.	-1.	0.	126.19
182	10.	-1.5	0.	124.9
183	10.	-2.	0.	124.47
184	10.	-2.5	0.	125.14
185	10.	-3.	0.	126.65
186	10.	-3.5	0.	128.09
187	10.	-4.	0.	128.71
188	10.	-4.5	0.	128.39
189	10.	-5.	0.	127.61
190	10.	-5.5	0.	126.77
191	10.	-6.	0.	126.08
192	10.	-6.5	0.	125.58
193	10.	-7.	0.	125.23
194	10.	-7.5	0.	125.01
195	10.	-8.	0.	124.87
196	10.	-8.5	0.	124.78
197	10.	-9.	0.	124.74
198	10.	-9.5	0.	124.71
199	-10.	9.5	0.	124.99
200	-10.	9.	0.	125.02
201	-10.	8.5	0.	125.1
202	-10.	8.	0.	125.23
203	-10.	7.5	0.	125.39
204	-10.	7.	0.	125.59
205	-10.	6.5	0.	125.8
206	-10.	6.	0.	125.99
207	-10.	5.5	0.	126.12
208	-10.	5.	0.	126.15
209	-10.	4.5	0.	126.
210	-10.	4.	0.	125.7
211	-10.	3.5	0.	125.46
212	-10.	3.	0.	125.73
213	-10.	2.5	0.	127.16
214	-10.	2.	0.	129.86
215	-10.	1.5	0.	131.09
216	-10.	1.	0.	128.23
217	-10.	0.5	0.	125.01
218	-10.	-5.2042e-015	0.	129.06
219	-10.	-0.5	0.	132.54
220	-10.	-1.	0.	131.62
221	-10.	-1.5	0.	129.01
222	-10.	-2.	0.	127.84
223	-10.	-2.5	0.	128.83
224	-10.	-3.	0.	131.86
225	-10.	-3.5	0.	134.18
226	-10.	-4.	0.	133.14
227	-10.	-4.5	0.	131.14
228	-10.	-5.	0.	131.59
229	-10.	-5.5	0.	131.14
230	-10.	-6.	0.	133.28
231	-10.	-6.5	0.	134.64
232	-10.	-7.	0.	132.59
233	-10.	-7.5	0.	129.27
234	-10.	-8.	0.	127.02
235	-10.	-8.5	0.	125.77
236	-10.	-9.	0.	125.11
237	-10.	-9.5	0.	124.81
238	-9.5	-10.	0.	124.84
239	-9.	-10.	0.	124.68
240	-8.5	-10.	0.	124.47
241	-8.	-10.	0.	124.39
242	-7.5	-10.	0.	124.5
243	-7.	-10.	0.	124.74
244	-6.5	-10.	0.	125.01
245	-6.	-10.	0.	125.26
246	-5.5	-10.	0.	125.45
247	-5.	-10.	0.	125.58
248	-4.5	-10.	0.	125.68
249	-4.	-10.	0.	125.76
250	-3.5	-10.	0.	125.83
251	-3.	-10.	0.	125.87
252	-2.5	-10.	0.	125.85
253	-2.	-10.	0.	125.69
254	-1.5	-10.	0.	125.31
255	-1.	-10.	0.	124.67
256	-0.5	-10.	0.	123.86
257	5.2042e-015	-10.	0.	123.15
258	0.5	-10.	0.	122.89
259	1.	-10.	0.	123.23
260	1.5	-10.	0.	124.01
261	2.	-10.	0.	124.87
262	2.5	-10.	0.	125.54
263	3.	-10.	0.	125.92
264	3.5	-10.	0.	126.05
265	4.	-10.	0.	126.01
266	4.5	-10.	0.	125.87
267	5.	-10.	0.	125.69
268	5.5	-10.	0.	125.49
269	6.	-10.	0.	125.31
270	6.5	-10.	0.	125.16
271	7.	-10.	0.	125.04
272	7.5	-10.	0.	124.96
273	8.	-10.	0.	124.91
274	8.5	-10.	0.	124.88
275	9.	-10.	0.	124.84
276	9.5	-10.	0.	124.79
277	3.	-3.	0.	125.02
278	2.5	-2.5	0.	124.1
279	2.	-2.5	0.	123.86
280	5.	-5.5	0.	125.94
281	-4.	-5.5	0.	123.91
282	2.	-2.	0.	123.38
283	2.5	-3.	0.	124.61
284	4.	-4.5	0.	126.53
285	4.5	-5.	0.	126.43
286	3.5	-4.	0.	126.23
287	5.5	-5.5	0.	125.62
288	6.	-6.	0.	124.8
289	3.	-2.5	0.	124.56
290	3.5	-2.5	0.	125.13
291	3.5	-3.	0.	125.47
292	-3.5	-5.5	0.	124.
293	-3.5	-6.	0.	124.19
294	1.5	-2.5	0.	123.91
295	1.	-2.5	0.	124.24
296	4.5	-6.	0.	125.74
297	4.5	-5.5	0.	126.06
298	-4.5	-6.	0.	124.23
299	5.5	-6.	0.	125.28
300	5.	-6.	0.	125.59
301	-4.5	-5.5	0.	124.03
302	-3.5	-5.	0.	123.76
303	0.5	-2.5	0.	124.77
304	1.5	-2.	0.	123.68
305	2.5	-2.	0.	123.57
306	4.	-2.	0.	125.66
307	4.	-2.5	0.	125.7
308	4.	-4.	0.	126.49
309	2.	-3.	0.	124.28
310	0.5	-3.	0.	124.4
311	4.	-5.	0.	126.39
312	-5.	6.	0.	125.
313	4.5	-6.5	0.	125.54
314	-3.5	-6.5	0.	124.41
315	2.	-1.5	0.	122.74
316	4.5	-2.	0.	126.27
317	4.5	-4.5	0.	126.72
318	-3.	-5.	0.	124.3
319	2.5	-3.5	0.	125.16
320	3.5	-4.5	0.	126.43
321	-5.	-6.	0.	124.44
322	-3.5113e-012	-3.	0.	125.
323	6.	-6.5	0.	124.76
324	-6.	6.5	0.	124.7
325	-3.5	6.	0.	124.05
326	5.9986	6.0002	0.	126.25
327	6.	-5.5	0.	125.
328	6.5	-6.	0.	124.22
329	5.	-5.	0.	126.41
330	4.5	-1.5	0.	126.65
331	3.	-4.	0.	126.02
332	-5.	-5.5	0.	124.23
333	-4.	-5.	0.	123.66
334	-4.5	6.	0.	124.66
335	1.	-2.	0.	124.38
336	3.	-2.	0.	124.16
337	3.5	-2.	0.	124.93
338	4.	-3.	0.	125.95
339	4.	-3.5	0.	126.26
340	-3.	-5.5	0.	124.35
341	-3.	-6.	0.	124.38
342	1.	-3.	0.	124.09
343	4.	-6.	0.	125.79
344	4.	-5.5	0.	126.1
345	-5.5	6.	0.	125.07
346	-6.	6.	0.	124.93
347	4.3164e-011	-2.5	0.	125.39
348	7.3514e-011	-2.	0.	125.94
349	-4.5	-6.5	0.	124.53
350	5.	-6.5	0.	125.38
351	5.4977	6.5002	0.	125.69
352	5.9978	6.5003	0.	125.79
353	6.4987	6.0002	0.	125.99
354	6.4993	5.5002	0.	126.2
355	-5.	6.5	0.	124.5
356	-4.	6.5	0.	123.99
357	4.	-6.5	0.	125.6
358	-6.5	6.	0.	124.82
359	-3.	-6.5	0.	124.5
360	-3.5	5.5	0.	123.63
361	9.1648e-011	-1.5	0.	126.89
362	1.5	-1.5	0.	123.35
363	2.5	-1.5	0.	122.96
364	4.	-1.5	0.	125.93
365	4.9978	6.5001	0.	125.34
366	6.4996	5.0001	0.	126.24
367	6.5	2.	0.	125.05
