Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	6.92	8.29	0.	163.37
2	5.4	8.66	0.	165.53
3	5.84	7.16	0.	115.75
4	6.54	1.39	0.	169.9
5	5.02	1.43	0.	167.9
6	5.74	9.e-002	0.	108.04
7	4.32	-2.24	0.	154.14
8	5.41	-1.86	0.	151.79
9	4.53	-1.11	0.	126.12
10	-2.74	4.84	0.	174.6
11	-1.46	4.98	0.	181.02
12	-2.22	6.02	0.	112.54
13	-0.65	-2.09	0.	118.67
14	-0.16	-0.21	0.	152.22
15	-2.03	-0.73	0.	173.91
16	0.64	4.47	0.	145.75
17	0.57	5.55	0.	136.25
18	-0.33	4.95	0.	153.96
19	-5.51	-7.34	0.	147.31
20	-6.84	-7.74	0.	145.42
21	-5.83	-8.7	0.	118.22
22	-6.95	-1.92	0.	156.72
23	-5.63	-1.49	0.	157.63
24	-6.66	-0.57	0.	118.98
25	-5.58	5.95	0.	175.08
26	-7.12	6.23	0.	161.87
27	-6.6	4.76	0.	109.35
28	7.	-4.	0.	132.74
29	7.	-6.	0.	123.57
30	9.	-4.	0.	138.27
31	9.	-6.	0.	140.54
32	5.	6.	0.	131.32
33	5.	4.	0.	128.9
34	6.	6.	0.	125.12
35	6.	4.	0.	126.15
36	6.	-7.	0.	137.14
37	6.	-9.	0.	131.81
38	8.	-7.	0.	124.47
39	8.	-9.	0.	128.38
40	1.	8.	0.	133.04
41	1.	7.	0.	133.86
42	2.	8.	0.	134.61
43	2.	7.	0.	136.09
44	-1.	2.	0.	131.19
45	-1.	1.	0.	126.44
46	1.	2.	0.	137.99
47	1.	1.	0.	139.49
48	0.	-5.	0.	133.15
49	0.	-6.	0.	133.28
50	1.	-5.	0.	134.62
51	1.	-6.	0.	134.45
52	-9.	-1.	0.	133.16
53	-9.	-3.	0.	134.52
54	-8.	-1.	0.	131.42
55	-8.	-3.	0.	134.77
56	-8.	3.	0.	134.51
57	-8.	1.	0.	134.21
58	-6.	3.	0.	132.67
59	-6.	1.	0.	131.62
60	-7.	-5.	0.	130.07
61	-7.	-6.	0.	128.4
62	-6.	-5.	0.	128.5
63	-6.	-6.	0.	126.03
64	10.	10.	0.	125.06
65	-10.	10.	0.	124.99
66	10.	-10.	0.	135.65
67	-10.	-10.	0.	126.75
68	6.4133	8.4133	0.	101.35
69	5.9067	8.5367	0.	114.01
70	6.56	7.9133	0.	82.083
71	6.2	7.5367	0.	87.013
72	5.5467	8.16	0.	134.05
73	5.6933	7.66	0.	127.39
74	6.0333	1.4033	0.	106.74
75	5.5267	1.4167	0.	109.18
76	6.2733	0.95667	0.	108.34
77	6.0067	0.52333	0.	102.58
78	5.26	0.98333	0.	111.6
79	5.5	0.53667	0.	108.35
80	4.6833	-2.1133	0.	105.43
81	5.0467	-1.9867	0.	95.567
82	4.425	-1.675	0.	138.84
83	5.1167	-1.61	0.	86.667
84	4.8233	-1.36	0.	94.062
85	-2.3133	4.8867	0.	107.56
86	-1.8867	4.9333	0.	100.31
87	-2.5667	5.2333	0.	133.35
88	-2.3933	5.6267	0.	117.51
89	-1.7133	5.3267	0.	104.92
90	-1.9667	5.6733	0.	95.746
91	-0.5275	-1.62	0.	128.84
92	-0.405	-1.15	0.	134.04
93	-0.2825	-0.68	0.	134.42
94	-0.995	-1.75	0.	92.973
95	-1.34	-1.41	0.	105.72
96	-1.685	-1.07	0.	90.856
97	-0.6275	-0.34	0.	104.92
98	-1.095	-0.47	0.	111.11
99	-1.5625	-0.6	0.	94.822
100	0.605	5.01	0.	144.38
101	0.155	4.71	0.	72.703
102	0.12	5.25	0.	66.638
103	-5.9533	-7.4733	0.	104.2
104	-6.3967	-7.6067	0.	97.375
105	-5.6167	-7.7933	0.	134.98
106	-5.7233	-8.2467	0.	132.09
107	-6.5033	-8.06	0.	90.44
108	-6.1667	-8.38	0.	94.758
109	-6.51	-1.7767	0.	104.64
110	-6.07	-1.6333	0.	92.116
111	-6.8533	-1.47	0.	136.31
112	-6.7567	-1.02	0.	131.39
113	-5.9733	-1.1833	0.	75.903
114	-6.3167	-0.87667	0.	85.001
115	-6.0933	6.0433	0.	102.7
