Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-8.02	7.21	0.	162.37
2	-6.68	6.54	0.	163.74
3	-6.77	8.04	0.	144.89
4	-5.64	8.03	0.	134.55
5	-5.75	6.63	0.	133.71
6	-4.48	7.23	0.	149.17
7	5.92	-0.57	0.	123.37
8	6.33	1.17	0.	163.08
9	4.61	0.66	0.	169.7
10	8.39	-0.63	0.	169.26
11	8.05	0.37	0.	113.96
12	7.35	-0.43	0.	169.21
13	1.97	-6.6	0.	174.3
14	2.88	-7.58	0.	117.36
15	3.27	-6.31	0.	173.34
16	-3.87	-5.98	0.	130.62
17	-4.98	-6.92	0.	158.45
18	-3.61	-7.41	0.	159.27
19	2.	6.	0.	138.06
20	2.	4.	0.	136.95
21	4.	6.	0.	135.62
22	4.	4.	0.	137.54
23	-1.	9.	0.	139.08
24	-1.	8.	0.	137.42
25	1.	9.	0.	137.52
26	1.	8.	0.	138.93
27	-6.	6.	0.	144.62
28	-6.	4.	0.	132.33
29	-4.	6.	0.	141.17
30	-4.	4.	0.	135.66
31	6.	7.	0.	133.84
32	6.	5.	0.	131.04
33	7.	7.	0.	132.5
34	7.	5.	0.	130.04
35	-7.	1.	0.	130.87
36	-7.	-1.	0.	132.84
37	-6.	1.	0.	132.39
38	-6.	-1.	0.	132.27
39	-3.	2.	0.	143.63
40	-3.	1.	0.	139.47
41	-1.	2.	0.	140.19
42	-1.	1.	0.	139.46
43	2.	-2.	0.	137.73
44	2.	-3.	0.	138.65
45	4.	-2.	0.	136.13
46	4.	-3.	0.	133.66
47	-5.	2.	0.	128.04
48	-5.	0.	0.	133.82
49	-4.	2.	0.	131.99
50	-4.	0.	0.	135.32
51	-1.	-5.	0.	139.42
52	-1.	-6.	0.	136.38
53	1.	-5.	0.	141.19
54	1.	-6.	0.	139.72
55	-9.	-6.	0.	136.01
56	-9.	-8.	0.	135.78
57	-7.	-6.	0.	135.88
58	-7.	-8.	0.	136.32
59	4.	-5.	0.	133.08
60	4.	-7.	0.	133.12
61	5.	-5.	0.	134.58
62	5.	-7.	0.	131.77
63	7.	-7.	0.	136.16
64	7.	-9.	0.	134.67
65	9.	-7.	0.	137.37
66	9.	-9.	0.	135.59
67	10.	10.	0.	125.
68	-10.	10.	0.	125.02
69	10.	-10.	0.	147.27
70	-10.	-10.	0.	133.06
71	-7.5733	6.9867	0.	91.386
72	-7.1267	6.7633	0.	105.77
73	-7.6033	7.4867	0.	79.99
74	-7.1867	7.7633	0.	93.737
75	-6.71	7.04	0.	150.88
76	-6.74	7.54	0.	146.19
77	-5.6767	7.5633	0.	138.23
78	-5.7133	7.0967	0.	136.71
79	-5.2533	7.7633	0.	94.928
80	-4.8667	7.4967	0.	88.729
81	-5.3267	6.83	0.	96.416
82	-4.9033	7.03	0.	87.584
83	6.0225	-0.135	0.	129.33
84	6.125	0.3	0.	137.92
85	6.2275	0.735	0.	144.95
86	5.5925	-0.2625	0.	92.114
87	5.265	4.5e-002	0.	104.65
88	4.9375	0.3525	0.	90.851
89	5.9	1.0425	0.	108.84
90	5.47	0.915	0.	114.62
91	5.04	0.7875	0.	95.184
92	8.22	-0.13	0.	130.68
93	7.87	-0.53	0.	103.57
94	7.7	-3.e-002	0.	71.926
95	2.2733	-6.9267	0.	84.725
96	2.5767	-7.2533	0.	93.307
97	2.4033	-6.5033	0.	97.604
98	2.8367	-6.4067	0.	103.89
99	3.01	-7.1567	0.	130.84
100	3.14	-6.7333	0.	138.04
101	-4.24	-6.2933	0.	88.363
102	-4.61	-6.6067	0.	79.81
103	-3.7833	-6.4567	0.	138.07
104	-3.6967	-6.9333	0.	143.94
105	-4.5233	-7.0833	0.	92.553
106	-4.0667	-7.2467	0.	104.89
107	2.	5.5	0.	145.83
108	2.	5.	0.	146.91
109	2.	4.5	0.	145.89
110	2.5	6.	0.	115.19
111	3.	6.	0.	119.28
112	3.5	6.	0.	114.51
113	2.5	4.	0.	116.05
114	3.	4.	0.	120.19
115	3.5	4.	0.	115.67
116	4.	5.5	0.	144.63
117	4.	5.	0.	146.35
118	4.	4.5	0.	145.61
119	-1.	8.5	0.	146.43
120	-0.5	9.	0.	122.43
121	0.	9.	0.	129.27
122	0.5	9.	0.	122.51
123	-0.5	8.	0.	121.37
124	0.	8.	0.	127.3
125	0.5	8.	0.	121.67
126	1.	8.5	0.	146.21
127	-6.	5.5	0.	148.42
128	-6.	5.	0.	144.64
129	-6.	4.5	0.	141.91
130	-5.5006	6.	0.	111.86
131	-5.0009	6.	0.	111.71
132	-4.5005	6.	0.	113.46
133	-5.5	4.	0.	112.66
134	-5.	4.	0.	116.57
135	-4.5	4.	0.	112.71
136	-4.	5.5	0.	145.59
137	-4.	5.	0.	146.06
138	-4.	4.5	0.	144.42
139	6.	6.5	0.	142.39
140	6.	6.	0.	141.67
141	6.	5.5	0.	140.05
142	6.5	7.	0.	108.33
143	6.5	5.	0.	105.84
144	7.	6.5	0.	141.14
145	7.	6.	0.	141.05
146	7.	5.5	0.	140.16
147	-7.	0.5	0.	140.78
148	-7.	0.	0.	141.52
149	-7.	-0.5	0.	141.37
150	-6.5	1.	0.	106.21
151	-6.5	-1.	0.	108.36
152	-6.	0.5	0.	140.96
153	-6.	0.	0.	143.02
154	-6.	-0.5	0.	143.51
155	-3.	1.5	0.	149.39
156	-2.5	2.	0.	123.23
157	-2.	2.	0.	128.21
158	-1.5	2.	0.	122.51
159	-2.5	1.	0.	120.86
160	-2.	1.	0.	125.86
161	-1.5	1.	0.	120.48
162	-1.	1.5	0.	148.61
163	2.	-2.5	0.	146.61
164	2.5	-2.	0.	119.72
165	3.	-2.	0.	124.65
166	3.5	-2.	0.	119.09
167	2.5	-3.	0.	120.37
168	3.	-3.	0.	124.58
169	3.5	-3.	0.	117.91
170	4.	-2.5	0.	142.84
171	-5.	1.5	0.	140.2
172	-5.	1.	0.	141.57
173	-5.	0.5	0.	141.47
174	-4.5	2.	0.	105.42
175	-4.5	0.	0.	108.61
176	-4.	1.5	0.	139.57
177	-4.	1.	0.	143.29
178	-4.	0.5	0.	145.39
179	-1.	-5.5	0.	146.6
180	-0.5	-5.	0.	120.72
181	0.	-5.	0.	126.8
182	0.5	-5.	0.	122.31
183	-0.5	-6.	0.	118.11
184	0.	-6.	0.	123.38
185	0.5	-6.	0.	119.15
186	1.	-5.5	0.	150.75
187	-9.	-6.5	0.	147.28
188	-9.	-7.	0.	149.
189	-9.	-7.5	0.	147.18
190	-8.5	-6.	0.	114.65
191	-8.	-6.	0.	118.2
192	-7.5	-6.	0.	113.25
193	-8.5	-8.	0.	114.28
194	-8.	-8.	0.	117.96
195	-7.5	-8.	0.	113.37
196	-7.	-6.5	0.	142.99
197	-7.	-7.	0.	143.89
198	-7.	-7.5	0.	143.78
199	4.	-5.5	0.	147.89
200	4.	-6.	0.	147.6
201	4.	-6.5	0.	139.82
202	4.5	-5.	0.	110.64
203	4.5	-7.	0.	105.32
204	5.	-5.5	0.	144.45
205	5.	-6.	0.	144.24
206	5.	-6.5	0.	142.76
207	7.	-7.5	0.	145.37
208	7.	-8.	0.	146.69
209	7.	-8.5	0.	145.16
210	7.5	-7.	0.	113.69
211	8.	-7.	0.	118.42
212	8.5	-7.	0.	114.74
213	7.5	-9.	0.	111.76
214	8.	-9.	0.	115.46
215	8.5	-9.	0.	112.68
216	9.	-7.5	0.	148.45
217	9.	-8.	0.	150.19
218	9.	-8.5	0.	148.18
219	9.5	10.	0.	125.01
220	9.	10.	0.	124.94
221	8.5	10.	0.	124.72
222	8.	10.	0.	124.32
223	7.5	10.	0.	123.8
224	7.	10.	0.	123.33
225	6.5	10.	0.	123.09
226	6.	10.	0.	123.16
227	5.5	10.	0.	123.44
228	5.	10.	0.	123.74
229	4.5	10.	0.	123.95
230	4.	10.	0.	124.11
231	3.5	10.	0.	124.43
232	3.	10.	0.	125.17
233	2.5	10.	0.	126.44
234	2.	10.	0.	128.24
235	1.5	10.	0.	128.25
236	1.	10.	0.	124.74
237	0.5	10.	0.	121.24
238	-5.2042e-015	10.	0.	119.72
239	-0.5	10.	0.	122.1
240	-1.	10.	0.	126.61
241	-1.5	10.	0.	131.12
242	-2.	10.	0.	131.61
243	-2.5	10.	0.	129.95
244	-3.	10.	0.	128.38
245	-3.5	10.	0.	126.75
246	-4.	10.	0.	124.98
247	-4.5	10.	0.	123.19
248	-5.	10.	0.	121.87
249	-5.5	10.	0.	121.31
250	-6.	10.	0.	121.16
251	-6.5	10.	0.	120.83
252	-7.	10.	0.	120.63
253	-7.5	10.	0.	121.28
254	-8.	10.	0.	122.71
255	-8.5	10.	0.	124.15
256	-9.	10.	0.	124.93
257	-9.5	10.	0.	125.06
258	10.	9.5	0.	124.97
259	10.	9.	0.	125.01
260	10.	8.5	0.	125.03
261	10.	8.	0.	124.83
262	10.	7.5	0.	124.35
263	10.	7.	0.	123.73
264	10.	6.5	0.	123.28
265	10.	6.	0.	123.32
266	10.	5.5	0.	124.02
267	10.	5.	0.	125.26
268	10.	4.5	0.	126.75
269	10.	4.	0.	128.15
270	10.	3.5	0.	129.26
271	10.	3.	0.	130.05
272	10.	2.5	0.	130.59
273	10.	2.	0.	130.89
274	10.	1.5	0.	130.67
275	10.	1.	0.	128.99
276	10.	0.5	0.	125.21
277	10.	-5.2042e-015	0.	121.39
278	10.	-0.5	0.	121.93
279	10.	-1.	0.	126.93
280	10.	-1.5	0.	131.18
281	10.	-2.	0.	132.18
282	10.	-2.5	0.	131.28
283	10.	-3.	0.	129.89
284	10.	-3.5	0.	128.79
285	10.	-4.	0.	128.24
286	10.	-4.5	0.	128.42
287	10.	-5.	0.	129.57
288	10.	-5.5	0.	131.92
289	10.	-6.	0.	135.14
290	10.	-6.5	0.	136.35
291	10.	-7.	0.	133.35
292	10.	-7.5	0.	129.93
293	10.	-8.	0.	130.74
294	10.	-8.5	0.	132.77
295	10.	-9.	0.	139.01
296	10.	-9.5	0.	145.16
297	-10.	9.5	0.	124.85
298	-10.	9.	0.	124.32
299	-10.	8.5	0.	122.89
300	-10.	8.	0.	120.53
301	-10.	7.5	0.	118.54
302	-10.	7.	0.	119.24
303	-10.	6.5	0.	122.36
304	-10.	6.	0.	125.87
305	-10.	5.5	0.	128.08
306	-10.	5.	0.	129.03
307	-10.	4.5	0.	129.38
308	-10.	4.	0.	129.61
309	-10.	3.5	0.	129.83
310	-10.	3.	0.	129.94
311	-10.	2.5	0.	129.78
312	-10.	2.	0.	129.21
313	-10.	1.5	0.	128.26
314	-10.	1.	0.	127.16
315	-10.	0.5	0.	126.24
316	-10.	-5.2042e-015	0.	125.85
317	-10.	-0.5	0.	126.08
318	-10.	-1.	0.	126.8
319	-10.	-1.5	0.	127.69
320	-10.	-2.	0.	128.46
321	-10.	-2.5	0.	128.99
322	-10.	-3.	0.	129.41
323	-10.	-3.5	0.	130.02
324	-10.	-4.	0.	131.19
325	-10.	-4.5	0.	133.26
326	-10.	-5.	0.	136.
327	-10.	-5.5	0.	136.6
328	-10.	-6.	0.	132.66
329	-10.	-6.5	0.	128.05
330	-10.	-7.	0.	127.47
331	-10.	-7.5	0.	128.
332	-10.	-8.	0.	132.56
333	-10.	-8.5	0.	136.52
334	-10.	-9.	0.	136.14
335	-10.	-9.5	0.	133.96
336	-9.5	-10.	0.	128.57
