Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-8.	6.	0.	133.47
2	-8.	5.	0.	133.22
3	-7.	6.	0.	132.91
4	-7.	5.	0.	133.32
5	3.	9.	0.	137.3
6	3.	8.	0.	135.87
7	5.	9.	0.	137.74
8	5.	8.	0.	135.84
9	-3.	-4.	0.	134.36
10	-3.	-6.	0.	132.71
11	-1.	-4.	0.	133.53
12	-1.	-6.	0.	132.98
13	-1.	2.	0.	133.84
14	-1.	1.	0.	134.08
15	1.	2.	0.	134.8
16	1.	1.	0.	134.17
17	-5.	-1.	0.	134.58
18	-5.	-2.	0.	134.5
19	-4.	-1.	0.	132.38
20	-4.	-2.	0.	135.14
21	10.	10.	0.	125.01
22	-10.	10.	0.	124.99
23	10.	-10.	0.	125.65
24	-10.	-10.	0.	127.84
25	-8.	5.5	0.	142.8
26	-7.5	6.	0.	110.96
27	-7.5	5.	0.	111.
28	-7.	5.5	0.	142.3
29	3.	8.5	0.	144.9
30	3.5	9.	0.	120.88
31	4.	9.	0.	127.67
32	4.5	9.	0.	120.92
33	3.5	8.	0.	119.34
34	4.	8.	0.	125.05
35	4.5	8.	0.	119.58
36	5.	8.5	0.	145.18
37	-3.	-4.5	0.	142.01
38	-3.	-5.	0.	142.81
39	-3.	-5.5	0.	141.48
40	-2.5	-4.	0.	112.88
41	-2.	-4.	0.	116.95
42	-1.5	-4.	0.	112.3
43	-2.5	-6.	0.	111.62
44	-2.	-6.	0.	115.85
45	-1.5	-6.	0.	111.62
46	-1.	-4.5	0.	141.8
47	-1.	-5.	0.	142.84
48	-1.	-5.5	0.	141.62
49	-1.	1.5	0.	142.38
50	-0.5	2.	0.	116.28
51	0.	2.	0.	121.37
52	0.5	2.	0.	116.29
53	-0.5	1.	0.	115.88
54	0.	1.	0.	121.23
55	0.5	1.	0.	116.44
56	1.	1.5	0.	142.9
57	-5.	-1.5	0.	143.65
58	-4.5	-1.	0.	111.54
59	-4.5	-2.	0.	112.81
60	-4.	-1.5	0.	142.74
61	9.5	10.	0.	125.02
62	9.	10.	0.	125.12
63	8.5	10.	0.	125.29
64	8.	10.	0.	125.57
65	7.5	10.	0.	125.98
66	7.	10.	0.	126.66
67	6.5	10.	0.	127.63
68	6.	10.	0.	128.91
69	5.5	10.	0.	128.26
70	5.	10.	0.	124.02
71	4.5	10.	0.	119.97
72	4.	10.	0.	117.93
73	3.5	10.	0.	119.82
74	3.	10.	0.	123.71
75	2.5	10.	0.	127.79
76	2.	10.	0.	128.35
77	1.5	10.	0.	127.02
78	1.	10.	0.	126.01
79	0.5	10.	0.	125.31
80	-5.2042e-015	10.	0.	124.92
81	-0.5	10.	0.	124.7
82	-1.	10.	0.	124.6
83	-1.5	10.	0.	124.58
84	-2.	10.	0.	124.62
85	-2.5	10.	0.	124.69
86	-3.	10.	0.	124.77
