Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	8.7	-5.e-002	0.	169.98
2	7.31	1.31	0.	123.11
3	6.83	-0.58	0.	155.61
4	5.4	4.31	0.	170.56
5	6.13	2.93	0.	108.97
6	6.96	4.25	0.	170.38
7	4.33	-6.17	0.	166.43
8	5.65	-7.62	0.	115.42
9	6.25	-5.75	0.	157.97
10	-1.e-002	-7.26	0.	130.19
11	-1.12	-8.04	0.	150.47
12	0.11	-8.62	0.	146.23
13	-2.8	-1.38	0.	167.54
14	-1.5	-1.14	0.	174.37
15	-2.36	-0.14	0.	116.29
16	0.15	0.52	0.	156.6
17	1.39	-0.45	0.	135.25
18	1.61	1.11	0.	157.49
19	-7.04	-8.03	0.	173.12
20	-5.76	-8.11	0.	172.38
21	-6.33	-6.97	0.	108.57
22	-7.53	-0.56	0.	104.39
23	-8.11	-1.49	0.	170.62
24	-7.01	-1.53	0.	156.77
25	-7.23	-4.34	0.	108.73
26	-6.16	-2.83	0.	173.96
27	-8.	-2.66	0.	158.66
28	4.	9.	0.	140.21
29	4.	7.	0.	137.36
30	6.	9.	0.	140.12
31	6.	7.	0.	138.17
32	7.	9.	0.	136.79
33	7.	7.	0.	137.52
34	8.	9.	0.	134.99
35	8.	7.	0.	132.73
36	-2.	6.	0.	135.93
37	-2.	4.	0.	136.02
38	0.	6.	0.	134.86
39	0.	4.	0.	134.58
40	-2.	-4.	0.	132.64
41	-2.	-6.	0.	135.1
42	0.	-4.	0.	133.39
43	0.	-6.	0.	126.93
44	-7.	9.	0.	135.66
45	-7.	8.	0.	133.24
46	-6.	9.	0.	135.68
47	-6.	8.	0.	133.25
48	-7.	3.	0.	134.3
49	-7.	1.	0.	132.56
50	-5.	3.	0.	136.8
51	-5.	1.	0.	138.38
52	10.	10.	0.	125.12
53	-10.	10.	0.	125.03
54	10.	-10.	0.	128.71
55	-10.	-10.	0.	131.27
56	8.3511	0.29141	0.	102.08
57	8.0043	0.6307	0.	107.89
58	7.6571	0.97035	0.	91.983
59	8.2303	-0.18313	0.	101.25
60	7.7636	-0.31539	0.	113.21
61	7.2968	-0.4477	0.	109.87
62	7.19	0.8375	0.	130.5
63	7.07	0.365	0.	135.7
64	6.95	-0.1075	0.	139.08
65	5.6433	3.85	0.	114.82
66	5.8867	3.39	0.	110.45
67	5.92	4.29	0.	111.72
68	6.44	4.27	0.	110.6
69	6.4067	3.37	0.	104.81
70	6.6833	3.81	0.	103.94
71	4.66	-6.5325	0.	99.112
72	4.99	-6.895	0.	111.83
73	5.32	-7.2575	0.	99.444
74	4.81	-6.065	0.	106.85
75	5.29	-5.96	0.	117.29
76	5.77	-5.855	0.	110.57
77	5.8	-7.1525	0.	124.36
78	5.95	-6.685	0.	133.91
79	6.1	-6.2175	0.	134.72
80	-0.38	-7.52	0.	84.599
81	-0.75	-7.78	0.	68.016
82	3.e-002	-7.7133	0.	136.6
83	7.e-002	-8.1667	0.	140.21
84	-0.71	-8.2333	0.	81.226
85	-0.3	-8.4267	0.	94.37
86	-2.3667	-1.3	0.	108.22
87	-1.9333	-1.22	0.	97.184
88	-2.6533	-0.96667	0.	139.38
89	-2.5067	-0.55333	0.	126.37
90	-1.7867	-0.80667	0.	82.113
91	-2.0733	-0.47333	0.	87.278
92	0.56333	0.19667	0.	78.715
93	0.97667	-0.12667	0.	88.116
94	0.63667	0.71667	0.	89.951
95	1.1233	0.91333	0.	103.38
96	1.4633	7.e-002	0.	141.51
97	1.5367	0.59	0.	145.09
98	-6.6133	-8.0567	0.	103.33
99	-6.1867	-8.0833	0.	102.18
100	-6.8033	-7.6767	0.	110.27
101	-6.5667	-7.3233	0.	96.048
102	-5.95	-7.73	0.	126.5
103	-6.14	-7.35	0.	106.52
104	-7.82	-1.025	0.	95.137
105	-7.27	-1.045	0.	102.81
106	-7.56	-1.51	0.	102.9
107	-6.9625	-3.9625	0.	100.52
108	-6.695	-3.585	0.	113.46
109	-6.4275	-3.2075	0.	111.23
110	-7.4225	-3.92	0.	112.89
111	-7.615	-3.5	0.	123.31
112	-7.8075	-3.08	0.	123.92
113	-6.62	-2.7875	0.	109.05
114	-7.08	-2.745	0.	113.67
115	-7.54	-2.7025	0.	101.15
116	4.	8.5	0.	147.36
117	4.	8.	0.	148.33
118	4.	7.5	0.	147.03
119	4.5	9.	0.	119.04
120	5.	9.	0.	125.27
121	5.5	9.	0.	119.12
122	4.5	7.	0.	117.67
123	5.	7.	0.	121.
124	5.5	7.	0.	115.89
125	6.	8.5	0.	148.54
126	6.	8.	0.	150.49
127	6.	7.5	0.	147.48
128	7.	8.5	0.	144.2
129	7.	8.	0.	145.51
130	7.	7.5	0.	144.12
131	7.5	9.	0.	110.83
132	7.5	7.	0.	110.24
133	8.	8.5	0.	143.62
134	8.	8.	0.	143.72
135	8.	7.5	0.	143.31
136	-2.	5.5	0.	145.1
137	-2.	5.	0.	146.5
138	-2.	4.5	0.	145.43
139	-1.5	6.	0.	113.85
140	-1.	6.	0.	117.92
141	-0.5	6.	0.	113.38
142	-1.5	4.	0.	114.6
143	-1.	4.	0.	118.19
144	-0.5	4.	0.	113.22
145	0.	5.5	0.	143.54
146	0.	5.	0.	144.53
147	0.	4.5	0.	143.11
148	-2.	-4.5	0.	141.6
149	-2.	-5.	0.	143.7
150	-2.	-5.5	0.	142.95
151	-1.5	-4.	0.	111.55
152	-1.	-4.	0.	115.8
153	-0.5	-4.	0.	111.98
154	-1.5	-6.	0.	113.4
155	-1.	-6.	0.	113.19
156	-0.5	-6.	0.	106.83
157	0.	-4.5	0.	140.89
158	0.	-5.	0.	141.1
159	0.	-5.5	0.	138.72
160	-7.	8.5	0.	143.61
161	-6.5	9.	0.	113.75
162	-6.5	8.	0.	111.35
163	-6.	8.5	0.	143.56
164	-7.	2.5	0.	142.64
165	-7.	2.	0.	143.29
166	-7.	1.5	0.	141.32
167	-6.5	3.	0.	113.13
168	-6.	3.	0.	118.02
169	-5.5	3.	0.	114.41
170	-6.5	1.	0.	113.07
171	-6.	1.	0.	119.54
172	-5.5	1.	0.	116.57
173	-5.	2.5	0.	146.5
174	-5.	2.	0.	148.18
175	-5.	1.5	0.	147.44
176	9.5	10.	0.	125.56
177	9.	10.	0.	126.88
178	8.5	10.	0.	126.06
179	8.	10.	0.	121.82
180	7.5	10.	0.	120.41
