Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	-4.	0.	0.	131.28
2	-4.	-1.	0.	129.67
3	-3.	0.	0.	129.83
4	-3.	-1.	0.	128.03
5	-4.	-3.	0.	132.05
6	-4.	-4.	0.	133.24
7	-2.	-3.	0.	134.05
8	-2.	-4.	0.	134.18
9	10.	10.	0.	125.
10	-10.	10.	0.	125.
11	10.	-10.	0.	125.16
12	-10.	-10.	0.	126.67
13	-4.	-0.5	0.	139.83
14	-3.5	0.	0.	108.35
15	-3.5	-1.	0.	106.97
16	-3.	-0.5	0.	138.08
17	-4.	-3.5	0.	141.25
18	-3.5	-3.	0.	113.81
19	-3.	-3.	0.	119.4
20	-2.5	-3.	0.	115.63
21	-3.5	-4.	0.	115.12
22	-3.	-4.	0.	120.27
23	-2.5	-4.	0.	115.49
24	-2.	-3.5	0.	142.51
25	9.5	10.	0.	125.
26	9.	10.	0.	125.
27	8.5	10.	0.	125.
28	8.	10.	0.	125.01
29	7.5	10.	0.	125.01
30	7.	10.	0.	125.01
31	6.5	10.	0.	125.01
32	6.	10.	0.	125.01
33	5.5	10.	0.	125.
34	5.	10.	0.	124.99
35	4.5	10.	0.	124.99
36	4.	10.	0.	124.97
37	3.5	10.	0.	124.96
38	3.	10.	0.	124.94
39	2.5	10.	0.	124.92
40	2.	10.	0.	124.89
41	1.5	10.	0.	124.87
42	1.	10.	0.	124.84
43	0.5	10.	0.	124.81
44	-5.2042e-015	10.	0.	124.78
45	-0.5	10.	0.	124.75
46	-1.	10.	0.	124.72
47	-1.5	10.	0.	124.7
48	-2.	10.	0.	124.68
49	-2.5	10.	0.	124.67
50	-3.	10.	0.	124.67
51	-3.5	10.	0.	124.68
52	-4.	10.	0.	124.69
53	-4.5	10.	0.	124.72
54	-5.	10.	0.	124.75
55	-5.5	10.	0.	124.78
56	-6.	10.	0.	124.82
57	-6.5	10.	0.	124.86
58	-7.	10.	0.	124.9
59	-7.5	10.	0.	124.93
60	-8.	10.	0.	124.97
61	-8.5	10.	0.	124.99
62	-9.	10.	0.	125.
63	-9.5	10.	0.	125.
64	10.	9.5	0.	125.
65	10.	9.	0.	125.
66	10.	8.5	0.	124.99
67	10.	8.	0.	124.99
68	10.	7.5	0.	124.99
69	10.	7.	0.	124.98
70	10.	6.5	0.	124.98
71	10.	6.	0.	124.98
72	10.	5.5	0.	124.97
73	10.	5.	0.	124.96
74	10.	4.5	0.	124.95
75	10.	4.	0.	124.94
76	10.	3.5	0.	124.93
77	10.	3.	0.	124.92
78	10.	2.5	0.	124.9
79	10.	2.	0.	124.88
80	10.	1.5	0.	124.86
81	10.	1.	0.	124.84
82	10.	0.5	0.	124.82
83	10.	-5.2042e-015	0.	124.8
84	10.	-0.5	0.	124.79
85	10.	-1.	0.	124.78
86	10.	-1.5	0.	124.77
87	10.	-2.	0.	124.77
88	10.	-2.5	0.	124.77
89	10.	-3.	0.	124.78
90	10.	-3.5	0.	124.8
91	10.	-4.	0.	124.83
92	10.	-4.5	0.	124.86
93	10.	-5.	0.	124.89
94	10.	-5.5	0.	124.93
95	10.	-6.	0.	124.97
96	10.	-6.5	0.	125.
97	10.	-7.	0.	125.04
98	10.	-7.5	0.	125.08
99	10.	-8.	0.	125.11
100	10.	-8.5	0.	125.13
101	10.	-9.	0.	125.15
102	10.	-9.5	0.	125.16
103	-10.	9.5	0.	124.99
104	-10.	9.	0.	125.
105	-10.	8.5	0.	125.02
106	-10.	8.	0.	125.07
107	-10.	7.5	0.	125.13
108	-10.	7.	0.	125.21
109	-10.	6.5	0.	125.3
110	-10.	6.	0.	125.39
111	-10.	5.5	0.	125.49
112	-10.	5.	0.	125.59
