Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
1	4.61	5.33	0.	144.21
2	4.52	4.02	0.	152.57
3	5.69	4.6	0.	161.95
4	6.73	0.82	0.	154.21
5	5.75	0.37	0.	149.01
6	6.64	-0.25	0.	140.8
7	6.42	-5.52	0.	172.78
8	5.88	-4.67	0.	105.39
9	5.42	-5.56	0.	171.56
10	0.56	1.65	0.	155.58
11	0.58	0.43	0.	144.21
12	1.62	1.06	0.	163.66
13	-0.65	2.28	0.	161.08
14	-1.12	3.54	0.	110.28
15	-1.98	2.5	0.	175.28
16	-0.97	1.23	0.	103.29
17	-2.02	4.e-002	0.	173.67
18	-0.47	-0.27	0.	163.24
19	-7.55	-5.15	0.	123.15
20	-7.13	-3.87	0.	174.93
21	-8.44	-4.15	0.	178.21
22	-5.48	6.75	0.	154.5
23	-5.8	8.08	0.	127.93
24	-6.79	7.14	0.	167.69
25	-7.96	1.08	0.	138.52
26	-8.89	0.33	0.	172.97
27	-7.78	-0.1	0.	157.3
28	7.	7.	0.	137.82
29	7.	5.	0.	134.97
30	9.	7.	0.	137.62
31	9.	5.	0.	137.1
32	8.	1.	0.	135.2
33	8.	-1.	0.	136.
34	9.	1.	0.	132.47
35	9.	-1.	0.	133.18
36	5.	3.	0.	128.32
37	5.	2.	0.	133.84
38	6.	3.	0.	132.63
39	6.	2.	0.	130.11
40	-1.	-6.	0.	130.83
41	-1.	-7.	0.	133.01
42	1.	-6.	0.	133.74
43	1.	-7.	0.	134.36
44	-1.	7.	0.	129.82
45	-1.	5.	0.	127.07
46	0.	7.	0.	131.53
47	0.	5.	0.	128.93
48	-1.	-2.	0.	125.56
49	-1.	-4.	0.	126.54
50	0.	-2.	0.	127.72
51	0.	-4.	0.	126.14
52	-7.	5.	0.	133.24
53	-7.	3.	0.	134.89
54	-5.	5.	0.	135.56
55	-5.	3.	0.	135.54
56	-6.	-1.	0.	130.61
57	-6.	-3.	0.	130.41
58	-5.	-1.	0.	132.19
59	-5.	-3.	0.	129.47
60	-6.	-4.	0.	126.74
61	-6.	-6.	0.	132.85
62	-5.	-4.	0.	126.46
63	-5.	-6.	0.	132.09
64	10.	10.	0.	124.92
65	-10.	10.	0.	125.02
66	10.	-10.	0.	127.08
67	-10.	-10.	0.	129.06
68	4.58	4.8933	0.	145.85
69	4.55	4.4567	0.	149.24
70	4.97	5.0867	0.	91.421
71	5.33	4.8433	0.	73.909
72	4.91	4.2133	0.	96.768
73	5.3	4.4067	0.	78.12
74	6.24	0.595	0.	79.284
75	6.685	0.285	0.	147.71
76	6.195	6.e-002	0.	67.262
77	6.15	-5.095	0.	97.68
78	5.92	-5.54	0.	100.59
79	5.65	-5.115	0.	111.9
80	0.56667	1.2433	0.	153.32
81	0.57333	0.83667	0.	148.31
82	0.91333	1.4533	0.	98.415
83	1.2667	1.2567	0.	76.967
84	0.92667	0.64	0.	94.73
85	1.2733	0.85	0.	75.03
86	-0.80667	2.7	0.	130.38
87	-0.96333	3.12	0.	120.11
88	-1.0933	2.3533	0.	104.23
89	-1.5367	2.4267	0.	91.97
90	-1.4067	3.1933	0.	87.488
91	-1.6933	2.8467	0.	91.332
92	-1.32	0.83333	0.	86.914
93	-1.67	0.43667	0.	81.009
94	-0.80333	0.73	0.	118.84
95	-0.63667	0.23	0.	127.55
96	-1.5033	-6.3333e-002	0.	105.34
97	-0.98667	-0.16667	0.	110.05
98	-7.41	-4.7233	0.	127.2
99	-7.27	-4.2967	0.	137.72
100	-7.8467	-4.8167	0.	88.215
101	-8.1433	-4.4833	0.	88.181
102	-7.5667	-3.9633	0.	113.8
103	-8.0033	-4.0567	0.	104.89
104	-5.5867	7.1933	0.	139.14
105	-5.6933	7.6367	0.	132.68
106	-5.9167	6.88	0.	101.05
107	-6.3533	7.01	0.	89.301
108	-6.13	7.7667	0.	85.132
109	-6.46	7.4533	0.	77.237
110	-8.2721	0.82831	0.	92.145
111	-8.581	0.57915	0.	57.883
112	-7.9	0.68667	0.	138.18
113	-7.84	0.29333	0.	146.95
114	-8.52	0.18667	0.	86.596
115	-8.15	4.3333e-002	0.	104.13
116	7.	6.5	0.	147.59
117	7.	6.	0.	149.34
118	7.	5.5	0.	146.8
119	7.5	7.	0.	116.22
120	8.	7.	0.	120.75
121	8.5	7.	0.	116.51
122	7.5	5.	0.	114.77
123	8.	5.	0.	119.07
124	8.5	5.	0.	115.12
125	9.	6.5	0.	148.62
126	9.	6.	0.	150.34
127	9.	5.5	0.	148.36
128	8.	0.5	0.	139.66
129	8.	0.	0.	140.96
130	8.	-0.5	0.	143.94
131	8.5	1.	0.	108.56
132	8.5	-1.	0.	109.6
133	9.	0.5	0.	143.28
134	9.	0.	0.	144.15
135	9.	-0.5	0.	143.72
136	5.	2.5	0.	140.4
137	5.5	3.	0.	110.17
138	5.5	2.	0.	108.79
139	6.	2.5	0.	139.68
140	-1.	-6.5	0.	140.62
141	-0.5	-6.	0.	112.55
142	0.	-6.	0.	118.29
143	0.5	-6.	0.	114.94
144	-0.5	-7.	0.	114.65
145	0.	-7.	0.	119.85
146	0.5	-7.	0.	115.25
147	1.	-6.5	0.	142.55
148	-1.	6.5	0.	138.27
149	-1.	6.	0.	137.85
150	-1.	5.5	0.	136.07
151	-0.5	7.	0.	105.94
152	-0.5	5.	0.	104.47
153	0.	6.5	0.	139.23
154	0.	6.	0.	139.12
155	0.	5.5	0.	138.46
156	-1.	-2.5	0.	134.69
157	-1.	-3.	0.	135.78
158	-1.	-3.5	0.	135.82
159	-0.5	-2.	0.	103.24
160	-0.5	-4.	0.	102.11
161	0.	-2.5	0.	136.65
162	0.	-3.	0.	136.46
